year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1,1175091.776607897,1887085.9090512688,110926.86618929621,219409.42342949068,126059.39363038352,531040.1306401028,1615415.741754228,586997.7709640487,305090.73481712304,1040077.3127784696,573793.1384469676
2,1585099.6669736854,2490374.686365282,192068.56408577773,323114.78261567914,188971.88004957463,799843.3022908198,2222934.6399124796,738899.302144295,297176.9502193519,1277730.4924525595,1043474.5292886037
3,2770014.242620233,2679666.1090856073,249535.3442760079,393903.39763431816,281727.2773342059,1409433.042883782,2884328.2733332776,995462.3577115132,418271.9917864359,1276245.257972916,1186086.382272586
4,4817779.480477502,1761979.8140041747,401605.1320645471,434149.36246494827,302114.181777228,1753495.2497968504,3889234.7139485767,893277.3928986839,457038.0874225888,1288797.8053041366,1711474.40434384
5,5631633.61807713,1820401.2911619584,426507.66015012097,502531.318533853,299102.6853471191,1954881.0629856235,3895056.091724044,1169032.4053421002,601907.3015906807,1279210.8840372195,2173711.2571941917
6,6986609.9375207005,1144492.3455214116,574811.2311258684,626281.3788036063,350056.4751135345,2797382.945738208,3910868.078463717,1310448.8481422197,581181.5028590651,1304785.4349105756,3205599.0688736923
7,7738513.599144112,1465394.5690782035,854158.0686912404,460547.96179051156,385463.1618535907,2925306.6223699707,5060299.583738806,1393496.0475504352,750239.1967759008,1921434.2536708042,4302708.1304218965
8,9288219.216536166,2491643.746433009,792423.3698730448,532781.3137712815,477920.99567678786,3911063.2339145425,5587988.450440152,1298530.9279709463,832996.3126363639,1360248.6801687789,5172941.919882956
9,7980611.410763234,2747090.570489413,970339.3705139862,438708.9719464349,520397.5212839013,3460371.3146707956,7292986.655211354,1681896.6434384002,903921.5900359084,1653082.8833675492,4602751.910377128
10,11407235.395817753,2943152.0857081297,968539.8390242094,520917.01256240153,449214.326823444,4447341.240985324,5815820.457073657,1783492.066394563,964330.9417461056,1924688.2212005951,6830777.350969962
11,10481453.691520963,2614100.0636172807,1051889.2890380756,527073.2538528977,513567.3700586205,4244276.938758836,6576863.069829152,2010087.6984315587,1005330.2367808948,1951141.8570446423,7636265.566458024
12,12806163.810669716,2885652.2525848234,983015.3910258615,532950.1995683758,553607.3506485731,5054479.942318369,7770087.488092459,2135983.085224822,1463002.9695348183,2230296.8706418956,8615406.68263626
13,13456756.58609269,3371196.34203383,1031932.2608356543,509897.13029400195,628583.452946891,4959734.783028829,7521164.359009712,1967199.015991982,1330764.1917796219,2153899.958189225,10072455.760695122
14,13423794.823751414,3594479.5369072706,1019550.6408079076,515448.0567908612,751705.5096725033,6037410.439075478,7997864.9415934775,2356558.05639135,1412288.0728392217,2271172.2986760577,9434952.742508998
15,11326681.903541299,2733780.315821172,1020916.5814865555,463414.32353815436,717205.8314856566,5757778.999888482,6840544.758748494,2180725.456269299,1390401.9344732603,2623208.54153715,9207179.253551345
16,9729316.760697018,2212865.4990604753,982895.9884397137,299030.45194692287,936187.9439470059,4127096.5697208503,4882327.366853969,1843758.715604135,1506632.6199280245,2780970.358170429,7694831.455824208
17,8283020.973245124,4279709.083236478,974108.219104106,248316.24944110936,798498.744766369,4605501.586489152,6253575.968112208,1836208.7961485793,1910195.6428088378,2928772.3270233897,8221410.5377167445
18,9001725.936787821,2956664.7259434205,1104722.9240905887,221828.8498207122,867375.7937181633,4763642.211363171,4306380.297087204,1759153.1836135334,2131680.6656576446,2599504.5995435254,5960612.161823489
19,7155072.519807858,3699729.331660441,1025974.38669635,127045.74400746182,876543.9348060128,4472084.068940194,4279723.713731923,1921557.2430504702,2170187.571238797,2104009.8787848125,4718073.827126929
20,7853856.917725972,4410618.846175055,1383313.4152583028,113584.93529636246,1136421.2377979506,5266197.243794764,4102617.770041274,1921895.1692975354,2176100.4537758986,2777536.6642374,3935554.7315359237
21,5359892.186458809,4163286.3217143216,1151772.4617492578,99334.05800041794,1058166.4642288927,4498398.216480342,3543257.989782902,2477971.8593459544,2718842.1561726197,2651949.0163151,3492006.1385279023
22,6029866.812536975,4011371.743144658,1215786.6156007915,79380.71723054376,1135727.5231642039,4632448.61485775,3880009.1441545407,2056200.5101787315,2292240.784742813,2405136.250461719,2432277.0325004472
23,5433803.460428231,4242282.759880683,1330892.208564907,74902.57211980436,1230257.4845243294,4668686.22381011,4706205.72024971,2605836.9584173076,2499577.7679255777,2690163.4779675896,2318765.221162983
24,5934118.032139061,4141531.815077295,1185638.29348272,78090.09878219292,1060482.7799149118,4958095.851278235,4219268.382010096,2665320.94724829,2805462.6647003884,2478614.812598934,1823754.5201473543
