year,species,prey,totdietComp
1,Blue_whiting,Capelin,0.10035307692006593
1,Blue_whiting,Large_phytop,4.850713316266153e-7
1,Blue_whiting,Large_zooplankton,0.11958501027152435
1,Blue_whiting,Medium_zooplankton,0.3913563504002176
1,Blue_whiting,Mesop_fish,0.1813864535688839
1,Blue_whiting,Norwegian_ssh,1.8889380482411022e-43
1,Blue_whiting,Redfish,0.10107555225435051
1,Blue_whiting,Squid,0
1,Blue_whiting,Unid_Fish,0.02996846735955712
1,Blue_whiting,Unid_Invert,0
1,Blue_whiting,Unid_Plankton,0.07627460415406905
2,Blue_whiting,Capelin,0.031190446975030303
2,Blue_whiting,Large_phytop,0.006985614367757766
2,Blue_whiting,Large_zooplankton,0.25346511399682475
2,Blue_whiting,Medium_zooplankton,0.4121457546487662
2,Blue_whiting,Mesop_fish,0.13309172204105382
2,Blue_whiting,Norwegian_ssh,4.0497675685092715e-131
2,Blue_whiting,Redfish,0.015456700569396813
2,Blue_whiting,Squid,9.478063268480942e-64
2,Blue_whiting,Unid_Fish,0.02430494318575068
2,Blue_whiting,Unid_Invert,0
2,Blue_whiting,Unid_Plankton,0.12335970421541972
3,Blue_whiting,Capelin,0.011818962956867827
3,Blue_whiting,Large_phytop,8.518960064305435e-7
3,Blue_whiting,Large_zooplankton,0.43082404418471637
3,Blue_whiting,Medium_zooplankton,0.36382110769315823
3,Blue_whiting,Mesop_fish,0.08185104448151308
3,Blue_whiting,Norwegian_ssh,2.221396923209003e-7
3,Blue_whiting,Redfish,0.006912923506052193
3,Blue_whiting,Squid,0
3,Blue_whiting,Unid_Fish,0.007037616633317092
3,Blue_whiting,Unid_Invert,0
3,Blue_whiting,Unid_Plankton,0.09773322650867651
4,Blue_whiting,Capelin,0.009032194201045842
4,Blue_whiting,Large_phytop,2.2108490763408194e-23
4,Blue_whiting,Large_zooplankton,0.578784362196938
4,Blue_whiting,Medium_zooplankton,0.16269328543274217
4,Blue_whiting,Mesop_fish,0.07038405535553285
4,Blue_whiting,Norwegian_ssh,7.31052741140692e-21
4,Blue_whiting,Redfish,0.06843701192743032
4,Blue_whiting,Squid,0
4,Blue_whiting,Unid_Fish,0.006754873564711769
4,Blue_whiting,Unid_Invert,0
4,Blue_whiting,Unid_Plankton,0.10391421732159913
5,Blue_whiting,Capelin,0.0072594371808913935
5,Blue_whiting,Large_phytop,3.558364988403341e-114
5,Blue_whiting,Large_zooplankton,0.47682089165430436
5,Blue_whiting,Medium_zooplankton,0.22004255815550663
5,Blue_whiting,Mesop_fish,0.10278993133186014
5,Blue_whiting,Norwegian_ssh,4.860753967229209e-15
5,Blue_whiting,Redfish,0.03455295125197393
5,Blue_whiting,Squid,0
5,Blue_whiting,Unid_Fish,0.01771166287417404
5,Blue_whiting,Unid_Invert,0
5,Blue_whiting,Unid_Plankton,0.1408225675512846
6,Blue_whiting,Capelin,0.00549132746186982
6,Blue_whiting,Large_phytop,9.548290736528982e-13
6,Blue_whiting,Large_zooplankton,0.5098391566879332
6,Blue_whiting,Medium_zooplankton,0.15536835518957362
6,Blue_whiting,Mesop_fish,0.10049406906140415
6,Blue_whiting,Norwegian_ssh,4.010146516816953e-12
6,Blue_whiting,Redfish,0.03028317413905973
6,Blue_whiting,Squid,0
6,Blue_whiting,Unid_Fish,0.10853835148078134
6,Blue_whiting,Unid_Invert,0
6,Blue_whiting,Unid_Plankton,0.08998556597441322
7,Blue_whiting,Capelin,1.2065959208324295e-6
7,Blue_whiting,Large_phytop,4.711228128707009e-42
7,Blue_whiting,Large_zooplankton,0.5071430349371149
7,Blue_whiting,Medium_zooplankton,0.2357781972074642
7,Blue_whiting,Mesop_fish,0.08920993349840811
7,Blue_whiting,Norwegian_ssh,1.1305265739399943e-60
7,Blue_whiting,Redfish,0.00808787837826981
7,Blue_whiting,Squid,0
7,Blue_whiting,Unid_Fish,0.005545919937542422
