year,species,prey,totdietComp
1,Blue_whiting,Large_phytop,0.07227421897718188
1,Blue_whiting,Large_zooplankton,0.3134021105770777
1,Blue_whiting,Medium_zooplankton,0.6142844120085679
1,Blue_whiting,Polar_cod,3.9258437172615636e-5
2,Blue_whiting,Large_phytop,0.03636641292600548
2,Blue_whiting,Large_zooplankton,0.2235993257271793
2,Blue_whiting,Medium_zooplankton,0.7400274805857456
2,Blue_whiting,Polar_cod,6.780761069586614e-6
3,Blue_whiting,Large_phytop,0.05183070084969836
3,Blue_whiting,Large_zooplankton,0.24750199698296763
3,Blue_whiting,Medium_zooplankton,0.700579787097426
3,Blue_whiting,Norwegian_ssh,4.0126971271310646e-7
3,Blue_whiting,Polar_cod,8.711380019533461e-5
4,Blue_whiting,Large_phytop,0.004083544217249724
4,Blue_whiting,Large_zooplankton,0.3308954271115548
4,Blue_whiting,Medium_zooplankton,0.66488888269425
4,Blue_whiting,Norwegian_ssh,3.9146340887439943e-7
4,Blue_whiting,Polar_cod,1.3175451353674726e-4
5,Blue_whiting,Large_phytop,0.004727583998707053
5,Blue_whiting,Large_zooplankton,0.35574785954617255
5,Blue_whiting,Medium_zooplankton,0.6394391986380227
5,Blue_whiting,Norwegian_ssh,5.162484158939965e-7
5,Blue_whiting,Polar_cod,8.48415686819798e-5
6,Blue_whiting,Large_phytop,0.010268324531125061
6,Blue_whiting,Large_zooplankton,0.3540412202428653
6,Blue_whiting,Medium_zooplankton,0.6355662793217713
6,Blue_whiting,Norwegian_ssh,3.567335315972838e-7
6,Blue_whiting,Polar_cod,1.2381917070664693e-4
7,Blue_whiting,Large_phytop,0.01617523750413836
7,Blue_whiting,Large_zooplankton,0.3676689195326111
7,Blue_whiting,Medium_zooplankton,0.6161558429632505
8,Blue_whiting,Large_phytop,0.02571275144264783
8,Blue_whiting,Large_zooplankton,0.36946767710575235
8,Blue_whiting,Medium_zooplankton,0.6048195714515998
9,Blue_whiting,Large_phytop,0.028864918896983897
9,Blue_whiting,Large_zooplankton,0.3665335188822251
9,Blue_whiting,Medium_zooplankton,0.604601562220791
10,Blue_whiting,Large_phytop,0.04192651165215622
10,Blue_whiting,Large_zooplankton,0.36587515831072637
10,Blue_whiting,Medium_zooplankton,0.5921974448067464
10,Blue_whiting,Norwegian_ssh,8.852303709456888e-7
11,Blue_whiting,Large_phytop,0.061568465747588015
11,Blue_whiting,Large_zooplankton,0.359228321353387
11,Blue_whiting,Medium_zooplankton,0.5792032128990251
12,Blue_whiting,Large_phytop,0.055347106351682995
12,Blue_whiting,Large_zooplankton,0.3615992310751017
12,Blue_whiting,Medium_zooplankton,0.5830536625732154
13,Blue_whiting,Large_phytop,0.005574143362014524
13,Blue_whiting,Large_zooplankton,0.3830594436763799
13,Blue_whiting,Medium_zooplankton,0.6113652411852936
13,Blue_whiting,Norwegian_ssh,1.1717763118962935e-6
14,Blue_whiting,Large_phytop,0.005000628131348255
14,Blue_whiting,Large_zooplankton,0.39029887170521765
14,Blue_whiting,Medium_zooplankton,0.6047005001634339
15,Blue_whiting,Large_phytop,0.004535312532774397
15,Blue_whiting,Large_zooplankton,0.38443533464086377
15,Blue_whiting,Medium_zooplankton,0.6110293528263617
16,Blue_whiting,Large_phytop,0.004100564415789406
16,Blue_whiting,Large_zooplankton,0.3926200612893006
16,Blue_whiting,Medium_zooplankton,0.6032793742949099
17,Blue_whiting,Large_phytop,0.008932902983949643
17,Blue_whiting,Large_zooplankton,0.39261412986259425
17,Blue_whiting,Medium_zooplankton,0.5984529671534562
18,Blue_whiting,Large_phytop,0.009774858030412645
18,Blue_whiting,Large_zooplankton,0.3896413237812097
18,Blue_whiting,Medium_zooplankton,0.6005826292033827
18,Blue_whiting,Norwegian_ssh,1.1889849950823372e-6
19,Blue_whiting,Large_phytop,0.009901993545212933
19,Blue_whiting,Large_zooplankton,0.39241445420736987
19,Blue_whiting,Medium_zooplankton,0.5976835522474172
20,Blue_whiting,Large_phytop,0.01270845973189954
20,Blue_whiting,Large_zooplankton,0.3908148320834325
20,Blue_whiting,Medium_zooplankton,0.596476708184668
21,Blue_whiting,Large_phytop,0.013390486334461027
21,Blue_whiting,Large_zooplankton,0.38608621184178366
21,Blue_whiting,Medium_zooplankton,0.600521709168402
21,Blue_whiting,Norwegian_ssh,1.5926553532869821e-6
22,Blue_whiting,Large_phytop,0.0202745241450966
22,Blue_whiting,Large_zooplankton,0.3859487901049094
22,Blue_whiting,Medium_zooplankton,0.593776685749994
23,Blue_whiting,Large_phytop,0.027865542625898066
23,Blue_whiting,Large_zooplankton,0.38542480470558904
23,Blue_whiting,Medium_zooplankton,0.5867096526685128
24,Blue_whiting,Large_phytop,0.03905422874197461
24,Blue_whiting,Large_zooplankton,0.37882888155244315
24,Blue_whiting,Medium_zooplankton,0.582116889705582
25,Blue_whiting,Large_phytop,0.05802039228588964
25,Blue_whiting,Large_zooplankton,0.36278374858155776
25,Blue_whiting,Medium_zooplankton,0.5791958591325526
26,Blue_whiting,Large_phytop,0.005618276662494584
26,Blue_whiting,Large_zooplankton,0.3876856560199868
26,Blue_whiting,Medium_zooplankton,0.6066944612991613
26,Blue_whiting,Norwegian_ssh,1.6060183574267423e-6
27,Blue_whiting,Large_phytop,0.20876350213947678
27,Blue_whiting,Large_zooplankton,0.30131940898412907
27,Blue_whiting,Medium_zooplankton,0.4899170888763941
28,Blue_whiting,Large_phytop,0.0028404824264254723
28,Blue_whiting,Large_zooplankton,0.378557679036342
28,Blue_whiting,Medium_zooplankton,0.6186018385372325
29,Blue_whiting,Large_phytop,0.009441482152931157
29,Blue_whiting,Large_zooplankton,0.3807168373535072
29,Blue_whiting,Medium_zooplankton,0.6098416804935616
30,Blue_whiting,Large_phytop,0.1475567604422919
30,Blue_whiting,Large_zooplankton,0.3235868346113299
30,Blue_whiting,Medium_zooplankton,0.5288564049463783
31,Blue_whiting,Large_phytop,0.08990236780900883
31,Blue_whiting,Large_zooplankton,0.3522471026414949
31,Blue_whiting,Medium_zooplankton,0.5578481958332326
31,Blue_whiting,Norwegian_ssh,2.3337162637253478e-6
32,Blue_whiting,Large_phytop,0.0904863447896402
32,Blue_whiting,Large_zooplankton,0.35392662457109786
32,Blue_whiting,Medium_zooplankton,0.5555829801494194
32,Blue_whiting,Norwegian_ssh,4.050489842448933e-6
33,Blue_whiting,Large_phytop,0.09047694328253414
33,Blue_whiting,Large_zooplankton,0.353057594365861
33,Blue_whiting,Medium_zooplankton,0.556460519625395
33,Blue_whiting,Norwegian_ssh,4.9427262100482615e-6
34,Blue_whiting,Large_phytop,0.5245504003125622
34,Blue_whiting,Large_zooplankton,0.18531673069006308
34,Blue_whiting,Medium_zooplankton,0.29013286899737484
35,Blue_whiting,Large_phytop,0.04169334473155898
35,Blue_whiting,Large_zooplankton,0.37599075253951986
35,Blue_whiting,Medium_zooplankton,0.582315902728921
36,Blue_whiting,Large_phytop,0.022097340799639816
36,Blue_whiting,Large_zooplankton,0.3792231138858908
36,Blue_whiting,Medium_zooplankton,0.5986770470830233
36,Blue_whiting,Norwegian_ssh,2.4982314461940455e-6
37,Blue_whiting,Large_phytop,0.04813976579504344
37,Blue_whiting,Large_zooplankton,0.37182870627146186
37,Blue_whiting,Medium_zooplankton,0.5800315279334948
38,Blue_whiting,Large_phytop,0.11924165093068538
38,Blue_whiting,Large_zooplankton,0.3420318332873331
38,Blue_whiting,Medium_zooplankton,0.5387265157819815
39,Blue_whiting,Large_phytop,0.1550324276162071
39,Blue_whiting,Large_zooplankton,0.3319853091037997
39,Blue_whiting,Medium_zooplankton,0.5129794805797026
39,Blue_whiting,Norwegian_ssh,2.782700290638692e-6
40,Blue_whiting,Large_phytop,0.021655837532164355
40,Blue_whiting,Large_zooplankton,0.37486670735840977
40,Blue_whiting,Medium_zooplankton,0.6034774551094257
41,Blue_whiting,Large_phytop,0.04130070599646754
41,Blue_whiting,Large_zooplankton,0.3639932058733813
41,Blue_whiting,Medium_zooplankton,0.5947060881301511
42,Blue_whiting,Large_phytop,0.05750047689206768
42,Blue_whiting,Large_zooplankton,0.3549337624365706
42,Blue_whiting,Medium_zooplankton,0.5875638369240933
42,Blue_whiting,Norwegian_ssh,1.9237472684539667e-6
43,Blue_whiting,Large_phytop,0.06688645849246481
43,Blue_whiting,Large_zooplankton,0.354540205694987
43,Blue_whiting,Medium_zooplankton,0.5785699857634083
43,Blue_whiting,Norwegian_ssh,3.3500491398997503e-6
44,Blue_whiting,Large_phytop,0.01452571094576536
44,Blue_whiting,Large_zooplankton,0.37645128246224246
44,Blue_whiting,Medium_zooplankton,0.6090192072581654
44,Blue_whiting,Norwegian_ssh,3.7993338268703067e-6
45,Blue_whiting,Large_phytop,0.09858468928404032
45,Blue_whiting,Large_zooplankton,0.3421858092507247
45,Blue_whiting,Medium_zooplankton,0.5592266023479489
45,Blue_whiting,Norwegian_ssh,2.8991172859588826e-6
46,Blue_whiting,Large_phytop,0.24683416508031666
46,Blue_whiting,Large_zooplankton,0.2917722262464283
46,Blue_whiting,Medium_zooplankton,0.46139096405098085
46,Blue_whiting,Norwegian_ssh,2.6446222742390485e-6
47,Blue_whiting,Large_phytop,0.09521304708484674
47,Blue_whiting,Large_zooplankton,0.3567798833902875
47,Blue_whiting,Medium_zooplankton,0.5480070695248658
48,Blue_whiting,Large_phytop,0.32029500937506494
48,Blue_whiting,Large_zooplankton,0.2664120132515427
48,Blue_whiting,Medium_zooplankton,0.4132929773733925
49,Blue_whiting,Large_phytop,0.49745341498477263
49,Blue_whiting,Large_zooplankton,0.19585005675375147
49,Blue_whiting,Medium_zooplankton,0.3066965282614758
50,Blue_whiting,Large_phytop,0.4910590440649038
50,Blue_whiting,Large_zooplankton,0.19779724694565
50,Blue_whiting,Medium_zooplankton,0.3111437089894462
51,Blue_whiting,Large_phytop,0.0712007483207434
51,Blue_whiting,Large_zooplankton,0.3597998515052461
51,Blue_whiting,Medium_zooplankton,0.5689969401766563
51,Blue_whiting,Norwegian_ssh,2.4599973542791563e-6
52,Blue_whiting,Large_phytop,0.02792123785717822
52,Blue_whiting,Large_zooplankton,0.37501170172255005
52,Blue_whiting,Medium_zooplankton,0.5970646033856164
52,Blue_whiting,Norwegian_ssh,2.4570346552381996e-6
53,Blue_whiting,Large_phytop,0.061581846705888725
53,Blue_whiting,Large_zooplankton,0.364037182473427
53,Blue_whiting,Medium_zooplankton,0.5743809708206844
54,Blue_whiting,Large_phytop,0.09816635994050489
54,Blue_whiting,Large_zooplankton,0.3498514971962652
54,Blue_whiting,Medium_zooplankton,0.5519799092664306
54,Blue_whiting,Norwegian_ssh,2.2335967993179122e-6
55,Blue_whiting,Large_phytop,0.17532852980257244
55,Blue_whiting,Large_zooplankton,0.3203528618125163
55,Blue_whiting,Medium_zooplankton,0.5043167106520721
55,Blue_whiting,Norwegian_ssh,1.897732839049945e-6
56,Blue_whiting,Large_phytop,0.026906104182010344
56,Blue_whiting,Large_zooplankton,0.3679508144884269
56,Blue_whiting,Medium_zooplankton,0.605143081329563
57,Blue_whiting,Large_phytop,0.1063146098736872
57,Blue_whiting,Large_zooplankton,0.3334367940811182
57,Blue_whiting,Medium_zooplankton,0.5602472629509317
57,Blue_whiting,Norwegian_ssh,1.3330942628171462e-6
58,Blue_whiting,Large_phytop,0.2191188300977683
58,Blue_whiting,Large_zooplankton,0.29637870297347585
58,Blue_whiting,Medium_zooplankton,0.4845004735938948
58,Blue_whiting,Norwegian_ssh,1.993334860949374e-6
59,Blue_whiting,Large_phytop,0.4857167622583334
59,Blue_whiting,Large_zooplankton,0.19518525298920672
59,Blue_whiting,Medium_zooplankton,0.3190969521746312
59,Blue_whiting,Norwegian_ssh,1.0325778286120613e-6
60,Blue_whiting,Large_phytop,0.016118739215084804
60,Blue_whiting,Large_zooplankton,0.36796837816852723
60,Blue_whiting,Medium_zooplankton,0.6159128826163879
61,Blue_whiting,Large_phytop,0.05658151620656263
61,Blue_whiting,Large_zooplankton,0.35157561949063887
61,Blue_whiting,Medium_zooplankton,0.591840902049888
61,Blue_whiting,Norwegian_ssh,1.962252910543592e-6
62,Blue_whiting,Large_phytop,0.09781225316597565
62,Blue_whiting,Large_zooplankton,0.3403125753459146
62,Blue_whiting,Medium_zooplankton,0.5618751714881098
63,Blue_whiting,Large_phytop,0.13492300647397298
63,Blue_whiting,Large_zooplankton,0.3315353824487292
63,Blue_whiting,Medium_zooplankton,0.5335416110772979
64,Blue_whiting,Large_phytop,0.5258142662401926
64,Blue_whiting,Large_zooplankton,0.18239875534677064
64,Blue_whiting,Medium_zooplankton,0.29178697841303675
65,Blue_whiting,Large_phytop,0.21303278879479967
65,Blue_whiting,Large_zooplankton,0.3016690747594263
65,Blue_whiting,Medium_zooplankton,0.4852981364457741
66,Blue_whiting,Large_phytop,0.0607341147056474
66,Blue_whiting,Large_zooplankton,0.36716186208362805
66,Blue_whiting,Medium_zooplankton,0.5721040232107245
67,Blue_whiting,Large_phytop,0.40838179915214334
67,Blue_whiting,Large_zooplankton,0.2272676328186576
67,Blue_whiting,Medium_zooplankton,0.3643493398164239
67,Blue_whiting,Norwegian_ssh,1.2282127753028386e-6
68,Blue_whiting,Large_phytop,0.21161587328676842
68,Blue_whiting,Large_zooplankton,0.3063239088558116
68,Blue_whiting,Medium_zooplankton,0.4820577509468293
68,Blue_whiting,Norwegian_ssh,2.4669105905625486e-6
69,Blue_whiting,Large_phytop,0.04158908639952198
69,Blue_whiting,Large_zooplankton,0.37482632150241724
69,Blue_whiting,Medium_zooplankton,0.5835845920980609
70,Blue_whiting,Large_phytop,0.048311033922880046
70,Blue_whiting,Large_zooplankton,0.37237410164701146
70,Blue_whiting,Medium_zooplankton,0.5793125834591696
70,Blue_whiting,Norwegian_ssh,2.2809709390280537e-6
71,Blue_whiting,Large_phytop,0.024625970535398202
71,Blue_whiting,Large_zooplankton,0.3813327673505415
71,Blue_whiting,Medium_zooplankton,0.5940384578951287
71,Blue_whiting,Norwegian_ssh,2.804218931682687e-6
72,Blue_whiting,Large_phytop,0.08609568494600425
72,Blue_whiting,Large_zooplankton,0.3484048527333693
72,Blue_whiting,Medium_zooplankton,0.565497704519346
72,Blue_whiting,Norwegian_ssh,1.7578012804130445e-6
73,Blue_whiting,Large_phytop,0.14389525532950403
73,Blue_whiting,Large_zooplankton,0.3257798792096027
73,Blue_whiting,Medium_zooplankton,0.5303235626052987
73,Blue_whiting,Norwegian_ssh,1.3028555945284034e-6
74,Blue_whiting,Large_phytop,0.022169155276306553
74,Blue_whiting,Large_zooplankton,0.3633252773782145
74,Blue_whiting,Medium_zooplankton,0.6145034731739921
74,Blue_whiting,Norwegian_ssh,2.0941714869155574e-6
75,Blue_whiting,Large_phytop,0.48049004078726204
75,Blue_whiting,Large_zooplankton,0.19509350374540094
75,Blue_whiting,Medium_zooplankton,0.3244153638157701
75,Blue_whiting,Norwegian_ssh,1.091651567073218e-6
76,Blue_whiting,Large_phytop,0.05458894431101982
76,Blue_whiting,Large_zooplankton,0.3539687892051613
76,Blue_whiting,Medium_zooplankton,0.5914398447833602
76,Blue_whiting,Norwegian_ssh,2.4217004586807754e-6
77,Blue_whiting,Large_phytop,0.14386903711715443
77,Blue_whiting,Large_zooplankton,0.32337480483355424
77,Blue_whiting,Medium_zooplankton,0.5327561580492916
78,Blue_whiting,Large_phytop,0.2967704636926312
78,Blue_whiting,Large_zooplankton,0.26863055844952594
78,Blue_whiting,Medium_zooplankton,0.43459897785784285
79,Blue_whiting,Large_phytop,0.09782335407476382
79,Blue_whiting,Large_zooplankton,0.3482087548792516
79,Blue_whiting,Medium_zooplankton,0.5539664871427717
79,Blue_whiting,Norwegian_ssh,1.4039032126644199e-6
80,Blue_whiting,Large_phytop,0.05453911691723261
80,Blue_whiting,Large_zooplankton,0.3669100527100995
80,Blue_whiting,Medium_zooplankton,0.5785487875599782
80,Blue_whiting,Norwegian_ssh,2.042812689645901e-6
81,Blue_whiting,Large_phytop,0.06474957801107337
81,Blue_whiting,Large_zooplankton,0.3635714784455386
81,Blue_whiting,Medium_zooplankton,0.5716774860456884
81,Blue_whiting,Norwegian_ssh,1.4574976997335e-6
82,Blue_whiting,Large_phytop,0.006013224409137352
82,Blue_whiting,Large_zooplankton,0.38298138861868136
82,Blue_whiting,Medium_zooplankton,0.6110053869721813
83,Blue_whiting,Large_phytop,0.3531379056522052
83,Blue_whiting,Large_zooplankton,0.2508745327748668
83,Blue_whiting,Medium_zooplankton,0.3959875615729278
84,Blue_whiting,Large_phytop,0.06458204830134384
84,Blue_whiting,Large_zooplankton,0.3595184075817512
84,Blue_whiting,Medium_zooplankton,0.575898789090994
84,Blue_whiting,Norwegian_ssh,7.550259108450862e-7
85,Blue_whiting,Large_phytop,0.06758700783184822
85,Blue_whiting,Large_zooplankton,0.3595306783961346
85,Blue_whiting,Medium_zooplankton,0.5728817561375273
85,Blue_whiting,Norwegian_ssh,5.576344896390514e-7
86,Blue_whiting,Large_phytop,0.08119473071837516
86,Blue_whiting,Large_zooplankton,0.345865557910517
86,Blue_whiting,Medium_zooplankton,0.5729387677251697
86,Blue_whiting,Norwegian_ssh,9.436459382622772e-7
87,Blue_whiting,Large_phytop,0.10683412130544863
87,Blue_whiting,Large_zooplankton,0.34055238328053866
87,Blue_whiting,Medium_zooplankton,0.5526124927839849
87,Blue_whiting,Norwegian_ssh,1.0026300276796693e-6
88,Blue_whiting,Large_phytop,0.4516555955295879
88,Blue_whiting,Large_zooplankton,0.2103198834383932
88,Blue_whiting,Medium_zooplankton,0.33802406117699973
88,Blue_whiting,Norwegian_ssh,4.598550192092636e-7
89,Blue_whiting,Large_phytop,0.006246650045179776
89,Blue_whiting,Large_zooplankton,0.37627040936889555
89,Blue_whiting,Medium_zooplankton,0.6174818197637763
89,Blue_whiting,Norwegian_ssh,1.1208221483857289e-6
90,Blue_whiting,Large_phytop,0.005987273978162726
90,Blue_whiting,Large_zooplankton,0.3789088166062067
90,Blue_whiting,Medium_zooplankton,0.6151031998726925
90,Blue_whiting,Norwegian_ssh,7.095429381292431e-7
91,Blue_whiting,Large_phytop,0.006579914809750485
91,Blue_whiting,Large_zooplankton,0.3830155155981566
91,Blue_whiting,Medium_zooplankton,0.6104036512096923
91,Blue_whiting,Norwegian_ssh,9.183824004132371e-7
92,Blue_whiting,Large_phytop,0.08206027391873524
92,Blue_whiting,Large_zooplankton,0.3513998884688135
92,Blue_whiting,Medium_zooplankton,0.5665394884540831
92,Blue_whiting,Norwegian_ssh,3.4915836836170413e-7
93,Blue_whiting,Large_phytop,0.0510076348841478
93,Blue_whiting,Large_zooplankton,0.3688701543022932
93,Blue_whiting,Medium_zooplankton,0.5801217476489515
93,Blue_whiting,Norwegian_ssh,4.6316460738480295e-7
94,Blue_whiting,Large_phytop,0.05787230958019869
94,Blue_whiting,Large_zooplankton,0.360709139307932
94,Blue_whiting,Medium_zooplankton,0.5814183808473755
94,Blue_whiting,Norwegian_ssh,1.702644937877465e-7
95,Blue_whiting,Large_phytop,0.07590492235081099
95,Blue_whiting,Large_zooplankton,0.35372708409414166
95,Blue_whiting,Medium_zooplankton,0.5703677953835952
95,Blue_whiting,Norwegian_ssh,1.981714520356394e-7
96,Blue_whiting,Large_phytop,0.007235865643483843
96,Blue_whiting,Large_zooplankton,0.3780264272174201
96,Blue_whiting,Medium_zooplankton,0.614737163710977
96,Blue_whiting,Norwegian_ssh,5.434281191864621e-7
97,Blue_whiting,Large_phytop,0.04904019723629686
97,Blue_whiting,Large_zooplankton,0.365871832595784
97,Blue_whiting,Medium_zooplankton,0.5850876814613867
97,Blue_whiting,Norwegian_ssh,2.8870653253884696e-7
98,Blue_whiting,Large_phytop,0.06240613391753449
