year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1,54066.63286566644,1140986.9692810886,91775.49453249309,246378.63931020803,185295.5935426962,972211.9248892643,433582.8451581948,232768.32010088814,265570.9112435772,340823.6159419173
2,403567.69751596695,820508.823385457,138858.93229431225,376609.95493443625,258756.43209390555,2148425.7234211466,531552.2721270864,284405.6367797799,811441.5629890533,758422.1719626867
3,1259865.4214076498,1405826.5701841987,232090.9028398766,427718.4840081426,335706.5080850636,2606966.925509961,818383.1336814216,343108.76532726135,983925.9110179202,1037102.8672958931
4,1278652.6053780923,1053012.2697609467,323720.4623989815,440076.8996580276,350660.0179021533,3042978.275641726,776147.207431289,355441.4751596773,1118398.430271899,1390561.4317414816
5,1163992.4294970646,781549.5889058622,432986.43565361336,513310.17945868673,489385.4241803674,3192616.0355489883,1030460.4817801903,545678.6128923628,1369343.523064542,2020906.7803311336
6,1523796.3757903683,720623.7483939184,555460.4596487074,631913.6712812848,475631.16846105753,4266776.809683234,1012073.2477340756,570687.992922567,1523331.2365993038,2780040.255946942
7,1585257.4697887425,759320.953197464,564036.3362749557,560190.7138720021,515617.34185671335,4553864.954612272,1211991.941933589,494610.64448344504,1209690.1987778957,3043633.6431028144
8,1800175.0796353319,880075.8820226607,749507.779071251,578246.7372284195,506136.47686082334,5612180.285977688,1543728.862608239,631511.4928305441,1161086.9846785706,3846158.7268817597
9,1727255.7180260092,1398360.9344559342,853096.0793157776,492917.27042711625,587210.5294049421,5824014.500237936,1554206.5253076071,816183.9583958541,1644323.3133782826,5394968.7697296245
10,2105406.6440288606,1237381.657055517,930315.0928831124,495503.7836105415,741193.3141311681,5595587.3231055485,1732629.8590802806,848229.4521623928,1517168.7723388246,6240200.854497103
11,1668613.4456117894,1097108.8416456429,936389.4055334534,541036.572237712,612073.56021021,7342219.464931578,1550630.5540488726,902139.470106764,1724523.780127748,6694677.004423912
12,2342977.2409755057,1534036.37193852,898638.1968141645,616272.0639856777,638352.9138443128,6356771.628756006,2002206.1342221296,1258099.348981994,1878142.6312934963,7010228.5856288355
13,1928612.1808326268,1750289.3544640192,1023021.4232801605,551076.603579288,802575.9550791312,7759166.885279486,1845097.5725338017,1211878.9091255178,2115733.7086934973,7970647.322338576
14,1518241.906756949,1310582.5583991134,1060434.7117669147,585153.1025320955,790137.3102224006,7955971.472795895,2019017.7629777268,1292875.4933550202,2205943.777706936,10116553.665067527
15,1876708.1120027401,1628984.293629499,994445.6038014604,575427.0230235003,776254.9020035523,5492503.240130537,2035030.5130454686,1215663.1276016247,2033883.5739884,9721339.313860754
16,1445640.9506895407,1230908.2036278928,914660.8634564052,438923.91030911554,938531.1330213625,6423908.422405403,1901729.329287794,1641801.1388926278,2812630.028778798,7519720.989853455
17,1344845.2677538127,1348225.825308942,1142655.970907286,286139.83744686,1163102.6195967947,5319455.126615933,1956044.4972552112,1985446.909808779,2311897.6814469504,6738902.675132355
18,1558756.7532513463,1787213.4222882434,1040302.4076426663,231443.50221404262,1049325.8736869353,4831083.666639752,2078812.2206443993,1830349.2443503824,2176369.3571878234,4815469.041021621
19,1493764.1801575467,1349038.2302727394,1051728.9685812925,183693.0621519404,1182512.8550545643,4169658.697513575,1809179.874838723,1993753.8281558324,2295037.7094878615,4531834.73099851
20,1187593.57012305,1530198.9350568438,1116508.3523071264,127018.95974210792,1343401.3943883444,3847853.7089103055,1730706.447512936,1836161.7173551808,2718389.4863973903,4682513.830579168
21,1538555.9213664865,2614335.790046316,944373.3251278505,119839.94100131074,1453676.128575823,3869801.6486950824,1764755.8372096887,2874153.768997948,2317940.109749488,3140486.8245884986
22,1285014.001756454,1896879.4590354117,912181.5137228152,93521.39254159933,1413283.2955990704,4837211.829100656,1953501.57862527,2580975.1909568966,2632315.0406251955,2971364.9394064797
23,1268658.7390704756,1672407.3202832302,978969.6778597786,76733.71563720799,1584447.9038100727,3960414.209593381,2066888.505465851,2504702.9266132,2433343.767932525,2459246.278278371
24,1247417.107727385,2126470.023721174,986622.6661206814,73893.94208937364,1479272.986350793,4030398.7841400267,2277514.1503922874,2957270.287255827,2475396.639173985,1561066.384808325
25,1448198.6644728505,1836223.0298737586,1080041.6603506187,69167.93014423575,1802349.2053524586,3921218.6403269037,2708185.532642272,3186602.1031230944,2363291.2898711404,1443921.8575784632
26,1338823.0879776096,1573214.967781101,1092016.1121421526,65610.45810442719,1627705.9459535517,4060136.2768004322,2630963.5444843136,3166140.7710318924,3028564.111726039,1305018.9683581586
27,1346067.5251514039,1230338.7905970574,1055934.078202656,64659.9221562145,1665858.8540377438,3946741.4815746592,3297954.074261291,2871534.630701872,2595826.2219288303,942494.879504639
28,1300811.5505808569,1194745.732144247,1047458.061761513,124073.42819451474,1561759.7307050684,4016523.160869628,3054915.832077148,3005202.812887353,2350143.852139424,721342.1815041607
29,1537275.7170678012,892524.5953911479,955675.4650291314,119788.06992536261,1691598.0471290913,4423289.646360027,3800752.2763904915,3211312.1319063655,3032221.2920368533,510406.5197855307
30,1319599.9332750137,756038.0126616905,930648.9093462499,163244.82907114655,2110054.4808781226,5076041.256004944,3820752.96877417,3353317.005372721,2041635.5981649002,405324.2465846111
31,1267984.7512276457,1132609.5495629688,1105867.669187791,148273.1444587561,1857803.2599076584,4414209.297992074,3840146.024029799,3561657.7931217854,2901058.361737837,485490.79929908784
32,1385378.2937536752,2061434.526439904,1184287.5122806588,108304.78707454374,1548774.2961831691,3637993.0559315425,3547308.210863349,3851092.445947378,2495122.3805687297,511845.0084260037
33,1498260.3400733222,1562756.284603757,899427.9427772906,83124.63781734019,1766340.9543687757,4841473.155752945,3462979.3881055885,3363465.612546058,2421565.8266794723,328130.08867194375
34,1293186.4125705992,1631015.1350261439,882446.5318142913,74741.45705805713,1882362.5410207494,4664724.478234552,3530060.552586573,3541368.693703525,2850189.385919252,310882.57417542057
35,1473918.3193192652,2022307.0414123265,1072210.0879909669,309347.81839230197,2170524.047147473,5358930.19462809,4231351.839264654,2960666.337284662,2791211.7414145065,272490.3504188209
36,1760919.779457588,2301206.8283443856,1063153.3133532938,589904.0833720425,2302342.9946480184,4531716.328737572,4590401.365199936,3254635.8132771924,3032094.862747612,226664.5499950451
37,1377128.6283803573,1904646.3063316753,1148283.2637659544,580207.4171455611,2110199.9796004035,4711506.232905442,4381247.144529251,2976721.7558260206,2501330.3627928793,301036.94592779665
38,1810277.745056575,1637238.951414577,901169.8017258497,667205.1785241363,2115820.3240315397,5535823.5153360795,3649431.3533520903,2821010.8975638836,2802157.143321313,299308.69394052756
39,1303910.0368608611,2216503.3386355974,1030255.179561517,664834.147333839,1841610.2358326516,5047108.479112949,4649794.283002529,3177149.233343264,2765325.915893019,272625.5836742098
40,1251812.0573300335,2465303.3338188767,1121265.5230318722,539155.5755587794,2166901.6105395537,4329797.258187748,3397838.9672167143,3559586.8676795787,2906950.500721297,282817.24585077417
