year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
41,1302081.082434842,3029788.97173476,1304320.1816149221,386421.4373549793,1989700.2992157151,5078515.677130216,3374927.859817629,3399426.6634300505,2683929.7512123184,295698.1054255199
42,1600079.9662625778,2667787.478182762,1038570.0250327251,297841.41804638965,1765274.7964462908,3451239.7666118136,3213064.7062354526,3747402.2379491325,2676187.741505205,360324.1149133529
43,1413979.0215206137,1979602.8351650424,1139663.6966250702,195171.86602250946,1938187.6194032407,4619642.599814552,2537875.1051168228,3887552.7768899566,2868959.8839127235,384299.98751952866
44,1355163.762228093,2107060.947008791,1079266.7000544304,199743.85322162445,2212390.3986274633,4523196.971800497,2098230.189836753,4080192.501082541,2704611.064849631,416909.7411680229
45,1401636.478787583,1672290.4825466215,1087395.4832338418,250647.10650638657,1959861.2267423817,5308270.963018369,2115540.4757055845,4104108.604120646,2382784.190747719,425713.5485828607
46,1486018.378911047,1442727.4109486262,1042589.737235623,260486.44665731967,1820526.2486543502,5125903.499946167,1807730.9517888564,4108988.0174953407,2834441.441858288,431147.47793856193
47,1703095.92356671,2095525.9293069171,855362.3116201911,219020.10803869364,2021698.7678193396,4878846.301060414,1809884.2767373323,3354205.1616474614,2618388.25897382,508131.9604975975
48,1271134.9016419698,2510871.6889234125,1171318.9832949275,292710.6089239923,2241013.9081254643,4683557.092612989,1665500.7149757326,3968499.33165627,3128702.7503485605,573133.4350230184
49,1413131.4524498452,1535122.594369812,1008886.5485653735,392835.1019036692,2159839.9344345233,3170362.916642498,1617061.8513694636,3667764.6707340153,2634458.7421019454,585016.8472218295
50,1415979.5018720848,2158583.299648809,968857.4296191392,410315.9953056027,2618971.840787018,4396728.301128909,1882285.2369320414,4373100.521502355,2784210.825953147,786186.3072640507
51,1288451.492447613,3235732.9849602333,1000882.5564951246,593532.4205479235,2141817.131227619,4596518.123708708,1773708.1879384674,3805393.5751435896,3302463.439117883,563893.221525785
52,1353693.9492299668,3203284.6893825303,913665.1478865374,698959.1532976102,2162309.56294897,4316511.637130617,1701225.5011409356,3716355.638772836,2620269.265341924,587471.9700728197
53,1210463.818022748,2648699.8138873316,977427.5927906552,1044699.1117838427,2363742.023614609,5907720.032751497,1641893.1272958284,3622746.6452334677,2702127.24798018,678351.2116849257
54,1290592.2323741205,1687985.4778177622,985377.4798790377,1055672.3322354236,1906875.227557334,5273410.950605605,1658395.4948104448,3710886.456218833,2704490.4739289666,828935.7696282851
55,1221479.3841617417,1652692.224208378,927105.7919266999,760549.1487650262,2120581.4224979957,5516361.94414672,1279546.760207837,3361593.043135973,3173219.3695181548,624855.5493668476
56,1500130.3140250095,1895674.700693509,839174.9849538048,555747.5107691892,2669602.7419420774,5837998.590965226,1380129.3379547792,3413585.649069614,3189834.9766696272,597014.2928523953
57,1512876.945071772,1375449.8991426702,964606.8351028943,546978.9059262003,2380217.0973884542,6493126.40162838,1316031.5253976989,3044113.412181668,3002553.833838773,600961.5504883012
58,1440601.0391296572,2079800.3913629984,938057.981455872,444611.8081732452,2384714.9998146105,5376573.853889986,1135965.1043501894,3634791.1234874227,3088421.040523116,661858.3650567315
59,1647251.0503266566,2556837.6562851225,1029206.39102671,438872.2459289504,2260760.180695336,5487619.427785723,1609195.9832330493,4038619.4724596282,2588733.9069494586,698124.4455558687
60,1695505.4480008734,2378987.178666279,996546.2848478964,348852.1715639687,1988903.6175041234,6005298.675415289,1569610.6654273698,4262693.208407604,2531592.7280726405,690285.0113364201
61,1456376.1402552729,1900316.4745702052,995227.8268911871,446841.7133811274,1841443.3283527517,6539309.90279957,1586661.8785536287,4499184.904790531,2632831.376340332,870403.5747934141
62,1647135.5487083325,2182557.2173822024,792988.1875102537,390320.5478755825,1943179.2450941592,5656751.266939228,1606556.8164681061,4194142.6236405005,3084027.93514324,866527.7269161906
63,1611538.0298481474,2420606.181366261,877805.2824893552,444853.71456455585,1826960.2977521496,5150896.526072825,2091967.4357123403,3653343.176659214,2867428.415556601,1378413.6997815934
64,1412786.194471279,1931621.0632296847,889283.8794042878,620212.098845046,1951286.5152067435,4604026.656608616,1851329.381523551,3884703.0270522763,2699283.461054907,1559232.871439571
65,1665468.8869648576,2021857.8602573324,828526.316374837,646989.7677057557,2320137.269284949,7004278.988471612,1685059.1914148286,3718666.2334634895,2978569.6088829897,1662683.1597026382
66,1748190.9214814492,1262974.4439034858,1011040.5206801238,996062.7469690375,2422195.540047558,5532998.730185027,1518950.6284823236,3487394.2848188207,2734343.562563009,2147361.100480892
67,1481479.7157702888,1557765.3099702797,892466.9248312413,865528.3953343556,1973204.217282505,6541229.582868219,1350878.5538440652,3702855.9952072417,3341230.61718213,2221157.581928283
68,1466149.5101721697,1714453.628700077,905232.4536819122,1113658.3991225734,2071014.8937271868,6065510.845493143,1421858.8795872862,3792300.3028007094,2872067.5456112735,2766098.572408857
69,1376522.3814575176,1577830.4376699114,885557.0012545177,1083960.960482371,2243346.9296722068,5994794.323700393,1203936.5096158537,3588864.007346529,2876219.3162705423,2896148.5318048513
70,1419134.770258151,1768149.772945563,864428.4330761767,1022011.9787371493,1914499.328247843,6524271.521084543,1292551.4190480192,4056505.2462916365,2501116.3783360994,3804879.168479478
71,1579106.8099100073,2714646.166928071,930543.7530043271,777480.8113299835,1915861.7628460699,5428229.710268278,1539002.950235233,3380532.0572413397,2781698.0895943725,4220664.580411711
72,1414805.3063349603,1552476.637757987,766974.4374175771,880346.8841484842,1955062.5286178028,5993108.931835027,1314463.3488433505,3891438.515630143,3073061.894979266,3778361.567077454
73,1354575.7658231503,1700411.5041417065,925018.1923180385,777433.5552701855,2165159.937002765,5917817.905756246,1273558.3062430208,3879994.1965592615,3243421.232073556,5688074.549388357
74,1420720.4558816156,1964540.2162716542,853227.527122853,657013.7362233108,1995835.2561490014,5748699.396225686,1082436.9143128742,4218272.731334054,2724727.2182795582,5871410.928234245
75,1416590.4567827631,3005645.780840017,863016.9031309322,557806.6234567574,2333555.685780438,5818314.782461127,1171152.46407123,3620837.1518422407,3006403.195039096,6781913.742325134
76,1681402.948588044,1658472.9651465225,795468.529143971,757300.146083353,2077753.1420240917,5185081.282836262,1021695.471549573,4057349.34742153,2676030.2555855457,8801864.018998932
77,1537321.5186168826,1794124.5684604293,863608.7073156992,1339273.0627486228,1854824.384142691,5159076.881625043,923026.6560873399,4252642.0014866255,2970317.4319435214,7531798.773784053
78,1660486.557320244,2640083.189154823,947635.9579888534,1502774.522784604,1884763.2700324787,5246129.329843939,968093.3387378888,3739160.149955718,3453274.004547117,8627924.666899823
79,1522302.5368937957,1755601.735549477,852268.9531214617,1634772.8935467117,1815907.6592870015,5381175.261754038,819358.5040512595,4462317.200210213,2895308.906897916,7626383.312712401
80,1350982.2292227328,2159922.1157521848,932169.5894014423,1591502.3862045684,2063768.5134795238,4920031.196074455,700800.8910683246,4550664.356295065,2427837.199267403,8358824.245999995
81,1519990.1956286498,2172937.4370523924,1086551.3325726946,1783987.4971981389,2086409.0446989215,5448940.309888685,727112.6431754417,4882678.3562511625,2579926.742597821,8190116.561294074
82,1537525.8910962446,1750300.5090167979,809025.0352446884,1120349.9133824392,2495091.3804487367,4630463.431145706,503872.15436260635,6059407.166143274,3392619.801324409,9926293.587604616
83,1387168.7940781703,1546306.9292031806,739561.9474917097,867094.9026721022,2065263.3188336208,5153401.62700742,501752.2368429992,3877448.3291227417,2468951.14574774,11071383.625277573
84,1642854.9444754673,2579491.1813954515,835837.5567671794,827786.2247368133,1949301.8646726755,5398016.07978706,373050.7887430999,5096097.99929126,2886924.369447779,9596678.36020935
85,1374666.7612802384,2199175.942379739,821041.4073993225,969294.0639758895,1844480.692786439,5179296.434707179,303751.59460899694,4768561.328714181,3038332.365966198,10710637.158784874
86,1481170.9912535767,1591619.8879610258,772266.9694393275,814296.4675911287,2335938.5946643953,4874475.5017025955,248409.99273250665,5071599.124681569,2616172.7099536075,11563415.266665477
87,1671115.2767220656,1345444.1319869438,676069.8192351504,730316.9678701499,2156041.190983605,5536493.8652959755,253884.19837028423,3927715.0184880816,2763918.6535378606,11518103.108494908
88,1624467.8650916142,2093466.0962955644,918567.2344230163,685021.6727433241,2016881.1480777862,5667989.961002465,242532.77498059662,3430665.8186008674,3319380.854793289,12176039.289981829
89,1759265.2749332986,3041072.1150104785,973507.7284334757,728384.2118300956,2107564.4496179386,5757847.56236976,170482.32830093076,4089610.0566195627,2832064.0097221895,10589861.38700355
90,1688650.414253706,1881535.6157644293,744655.3691710997,622806.9851519415,2244814.437351275,5539831.3471817775,159804.03215999628,4169666.787915471,2795176.148331048,10664302.672810365
91,1628423.384642718,1542085.46997024,961777.837139148,750568.0931451125,2461042.866521942,4597343.642131181,108225.5739727903,4339473.654976437,2836085.2584343934,12497268.04594593
92,1619538.6157201177,2270807.4794701543,1007924.0340612722,663738.0698473294,1998188.0422245557,4785557.529505675,93876.4141363154,4203216.648548689,2708738.592729981,11183254.74095302
93,1528356.454559245,2750740.4697980625,862080.891389961,822413.1288479932,1782277.6862596972,5743180.285453854,64127.99700071654,4148276.1339994227,3111327.0103157414,14587438.738764903
94,1437677.9663438124,1710586.7090648187,983723.1676576321,592740.6325860465,1895075.897546596,5728575.300491174,38509.80861504276,4480812.806234324,2935215.107967727,13206733.532582242
95,1279357.8531775281,2700411.2636846546,787553.1046419939,519824.2080338389,2096907.3189036355,5632370.8983141035,56482.33364088819,4100568.5356810647,2896057.444455626,13136542.320255639
96,1652200.4048632088,2454543.255249204,731039.0452316658,492600.2976916675,2038068.2255135097,5004659.983124621,55094.245212248585,4513073.49920028,2722744.0848706756,10686319.367134847
97,1392856.5282378106,1796198.5036411765,929152.8956194646,443673.2254918158,2074194.6952326156,4430481.608696872,46842.9996606075,4022739.539400946,2210551.361793706,10907941.675003251
98,1374365.6980535353,1393118.7072059817,944814.4891969137,523625.50361484394,2146124.120108567,5112449.968440734,32967.07319275882,4363973.373665844,2856865.9839202296,12431502.736452103
99,1411484.490849415,1311712.9589760213,768360.4474162952,375206.7861805272,2120059.42522156,5239624.781201969,24605.883716506054,4006732.786210137,2982737.4498384777,13260292.249014726
100,1365613.3146478303,1642611.353932942,860031.6053747814,393304.69476080616,2183959.395162788,4946863.949123507,16024.07916809508,3571272.7699905992,2838220.7264315016,11230862.755051754
101,1547351.2132617051,1687352.117033941,849023.6305264609,395475.6176435992,2236408.1001372393,5941749.916504082,13731.33657414315,5322339.77978515,2603987.0915262657,13555063.886607852
102,1509291.8532092203,2261039.696062753,909785.4626423211,262895.81006989756,2027113.8408670211,4638020.731496955,11670.248054682472,4076837.433788057,2571560.0617669933,13230630.056005666
103,1711682.9666392263,1852986.664882543,1201639.384852992,293737.1985383219,2510906.5259911316,6081342.198107982,7675.508692906971,4271910.510450248,3072571.1758755506,14912224.41551472
104,1470352.7440234297,1430461.1062142549,772929.1360435798,228435.25715360034,1516759.6770201514,5543302.319971391,13430.79429455036,4506007.91866661,2718734.540895845,14449066.529200146
105,1534516.10865582,1968903.2869660142,720602.5542570674,249158.59160661726,1726988.4822683546,6300253.735967182,17170.049996643764,4981087.142598252,3029382.4224191587,13527857.151679844
106,1539641.7050674802,1681994.3112247526,809884.0304743986,234117.61883684565,2278466.5347528076,5049532.989193651,11256.709753936682,4823709.891170722,2672181.85579958,12103375.746381046
107,1782353.4010065326,2111670.1280074567,837338.7035581438,229174.63641091986,2055630.6418352746,5771974.050986014,5834.8069399317865,4164255.203431816,3466366.151478824,11887783.475878945
108,1667859.8744429084,2182555.0772391027,912202.401278978,263655.8803741008,2079266.04819054,4637703.096058751,5681.495495445403,3712874.085554055,2987944.070520576,15164821.521802163
109,1156444.873947714,2157034.1498418157,738896.1474659008,265443.84513650637,1957342.8287594405,4970134.104164644,5455.621006436373,4125307.2891438142,2786948.029795804,12172669.064073447
110,1524816.1029409743,1834085.2742044653,803893.6163418678,277835.0475708477,2282825.1482803775,5334321.786704901,5488.315607343237,4711443.481351322,2933300.4603977324,14694668.58602429
111,1453421.9315896556,2496639.350347722,875307.397131027,375563.2563422528,2039077.8334027927,5228643.72296043,3301.955329832808,4310664.227398706,2876294.259643487,13298318.780374335
112,1504252.4231342732,2855319.32181951,779042.5907628272,647750.2587433483,2240814.9014195255,6050939.098797931,2407.0064303817567,4166922.953338455,2964795.866774716,13466326.253862748
113,1691619.2926955635,1799584.1857629383,780162.7719691552,615339.6067022465,2334721.280442187,4868532.298255588,4839.761079522501,3902975.4380324404,3471881.405138925,15472440.485739127
114,1652549.9355742347,2140198.0872411537,951376.0994914541,686824.0492949564,2122608.47428841,6323490.5407145,7898.167366670723,3065677.4717975645,3108234.970626082,15441033.836448971
115,1760474.4487265055,2709874.6249370207,778716.3921423373,774827.6658099327,2037218.0812832762,6730606.623744952,9815.477639650051,3944316.09424304,2832998.5786823547,14724424.24316742
116,1637155.1760673628,2132086.6930206525,819557.3034801852,790327.240664665,2305796.7754186867,5387677.6088777725,14259.623352260798,4338936.497838063,3130614.924717342,12975730.492785024
117,1334819.7548727659,2201904.8873586077,787708.6665842538,833277.5973122123,1993148.8542499682,5004703.891764583,20360.006484263937,4623275.02151974,3423714.51911125,12895445.733770618
118,1437310.1926307713,1604043.9643967992,846597.006056772,714401.4996850305,2528555.6038949937,5459959.24238462,25143.36960736915,3441205.1824062364,3344721.789420075,13203088.549217524
119,1647778.7387037342,1481648.1587745654,836890.3634665885,661124.6208381462,2655525.186168075,5381633.643603844,32319.67791354875,3662735.5925869257,3442909.929834453,13566533.309119686
120,1846792.9021944073,2548594.227851069,769804.8549673851,823233.254683556,1997806.6910610085,6118620.581510776,42636.3508478878,4237524.775422797,3159117.604380429,12686825.619321417
121,1503165.3193650225,2350146.3645969117,824990.1227552186,600243.9929059072,1867162.783172549,5287370.423128936,43714.64129621785,4822685.238350966,3276798.8721681023,14340518.650611073
122,1544162.7317958958,1959565.0201122034,717341.961981683,785288.2414892707,2017125.3006685958,5203214.9092711555,68942.39371703038,3938429.4694241635,3367882.9838732323,16179026.318315608
123,1619012.366176687,2102536.2734328033,757065.0141752161,766089.7935730914,2187519.082285032,5611459.649362103,66282.51190796266,4128448.686872751,3049644.6733818473,15293232.94361324
124,1591493.971662649,2301407.987341478,939834.9870119473,789653.9522840425,2284449.2352137486,4780063.489754028,79554.23277608468,3989994.1317180037,2915878.686501789,14683412.768503532
125,1478427.4616754786,2346516.077188191,839775.8097996279,809740.4037129512,1827027.5952860725,5860748.724834538,88429.34641927888,3973935.353728132,2754977.3387928065,12871343.976360785
126,1505798.052495627,2248789.609121747,835484.7123099936,1005873.8130270917,2143208.897386655,5902081.284095377,90942.17910181971,5157220.089403545,3104793.7251378703,15816211.447485879
127,1672264.566615314,1737877.997086509,792660.9503300744,789560.2792161533,2251983.7104572766,4997536.311940925,104636.62476394797,4129260.965692872,2998488.0499090888,14983168.39971947
128,1552670.6829039757,3047075.2637207177,731368.9609530539,956047.4587285325,1901438.642619073,5707471.64611063,109390.3408584148,4567213.823185632,3045021.7920674244,15777529.405707963
129,1548536.3622452682,1952769.2072294143,720705.3797588848,834833.7414128238,2246345.498337758,4913040.708048519,133299.40479029945,3789647.1397974147,3169520.4871917106,14531049.002608461
130,1277570.8078610487,1424259.8648623491,684098.906333055,998182.5871461661,2096386.5980918165,5169320.708875417,153472.66892461793,3809456.296011815,3128232.818507761,14715713.212338012
131,1467443.7747412021,2267177.2453694413,824671.7071675544,973367.0445594827,1981214.7840274603,5829936.539631688,129258.3173029132,4507447.239586282,2949253.935541325,13322782.76060224
132,1699179.3220152815,2201902.9256474716,832201.8800274526,1036708.2453444302,2234392.175484186,5406153.03873859,164322.95212095627,4782457.729289701,2751924.6356553123,14949574.607850634
133,1278718.3656589412,2022120.5561063744,776457.7139544926,866455.5963223693,2487023.1657921183,5040522.336695842,154605.90104238666,4397345.867197248,3568349.2516090544,15803376.362871435
134,1250037.994048488,2166728.602153326,843045.774380104,971012.5856635496,2060138.1387254365,6613597.824681033,168766.30770713274,4991139.0829874175,3002737.0543367383,11384539.475055559
135,1611257.3304415154,1897598.7295273244,849643.976855601,991560.6367570537,2436019.6965275826,5896518.499211204,170559.25510166248,5230644.995942195,2769236.8722418654,17954185.705083963
136,1448195.517023239,2338493.5836165086,838898.2742371844,1011818.4003409538,2177892.344551727,6070475.087365889,203864.93017893782,4873878.119497282,3698722.280822989,14096476.445197508
137,1879012.6708997379,2691908.236518529,854410.1880611934,917154.2729730532,1798118.2421355702,6255612.143108705,228567.05376300748,4431756.449930775,2933685.844415922,16589225.780647643
138,1434087.8277614482,2773810.4452851634,803186.7451860622,1360238.5549213097,2037112.0943457456,5804042.75600568,242609.65914680922,4441887.496286333,2556258.5628123214,14575496.996067554
139,1599478.5992275386,1991178.3004280948,875837.2219917158,979387.7446665777,2031458.6560526814,4753168.149581483,224998.82154331214,4028286.9961328604,2671990.3435981306,15670917.970617928
140,1434788.1087256253,2548299.2050195355,734886.018106065,1085461.5428330803,2235487.3239909196,4525090.504573608,219761.534493875,4043596.7336071637,2529954.3648486026,16247750.775966639
141,1543568.8444734178,1526782.6864119575,874831.1098357071,1145669.669241005,2072089.1142467787,5831179.999612874,238956.32650795512,4234457.595854328,2656542.040002676,14680712.165999318
142,1690328.6445123807,3123435.8885632297,760715.0441747415,1476614.734683671,2195453.350201433,4999805.974109384,183641.5682930002,4244317.431435503,2954248.3425005227,16212043.885076016
143,1538036.9197570821,2101279.3769228607,897837.427613519,1483104.152152099,2504538.886268683,5579272.288247769,216371.90792122923,5218009.907551954,2727363.5251714173,13555175.785095708
144,1449682.5275048485,1870662.1124138804,800345.8135566992,1519507.4718033618,2021843.6966234252,5125654.120387651,262672.1520312415,5127659.233154271,2535193.6496489383,15153834.128739761
