"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.7800833132957,6.65248848531708,51.7359078192404,41.1160898689686,9.5390189681979,63.6778781163557,15.401320455733,16.7933305400256,14.3168963084388,29.7373125958225
"kappa",0.39468631790313,1.06187190074736,0.428178259849229,0.296794962694149,0.55958344731489,0.262896454865803,0.28854704105372,0.16935397096712,0.302740327373413,0.480544670937164
"Linf",NA,17.0923358550127,NA,83.5862977146934,NA,121.636496712415,29.5753695805464,23.6989422004981,NA,NA
"K",NA,1.43651527600153,NA,0.294820030316235,NA,0.230602071325301,0.421150985152147,0.557041199231178,NA,NA
"growthType",2,4,2,4,2,4,4,4,2,2
