"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",27.9257412140931,12.2805135020814,55.0770314192093,35.0154423890383,6.53608315606203,22.0555740252526,38.4672373702104,13.5838658014402,18.706043437722,5.7188588204638,25.3778041283045
"kappa",0.0832255393023203,0.317767107779994,0.418336786016312,0.33854865947359,0.677737496706304,0.289608239423728,0.514013818541439,0.348626289685447,0.113659317126941,0.644412035511603,0.572204075357043
"Linf",33.0440926346575,18.2518529062997,170.559342793622,77.6686124980344,NA,47.7560726952313,119.74371960845,31.0919896373101,NA,39.2134563616388,252.952557367143
"K",1.024457931685,0.864810936791878,0.220638097420692,0.411433258944632,NA,0.226586219261804,0.354172448950344,0.379397969771311,NA,0.183539980327655,0.0378166276834895
"growthType",4,4,4,4,2,4,4,4,2,4,4
