"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",23.7794583296336,12.0960658770709,55.8813515375216,31.7777715983913,8.61287586934679,19.4312357757005,31.9215998166009,12.5920231251386,18.6487356547323,9.7771350518503,32.0795511292137
"kappa",0.171294338118007,0.355637295986164,0.408804562643223,0.39511620342803,0.563859670959378,0.352137579099746,0.669621690875402,0.385210447082599,0.117938316019905,0.447204546637522,0.468979138224377
"Linf",32.9017682420946,18.1329330467545,NA,77.2425584270501,NA,NA,NA,31.2551437135164,24.8783023175022,NA,NA
"K",1.25848699566245,0.902716863289827,NA,0.375861705427765,NA,NA,NA,0.311829591066406,0.267813611904396,NA,NA
"growthType",4,4,2,4,2,2,2,4,4,2,2
