"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Polar_cod","Redfish","Saithe","Norwegian_ssh"
"mu","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"sigma","2","2","2","2","2","2","2","2","2","2","2"
