"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.767207853757,6.63624677495586,51.9258611428754,42.7518981489178,9.53517190131185,63.9051016975036,14.0290188220359,16.7820285709,16.0927902928658,32.4551370040115
"kappa",0.387377550109273,1.07062535675475,0.425769690082894,0.280550705015791,0.563555858390363,0.266649736917812,0.38923778799281,0.1690868007703,0.272673793986482,0.467712556296573
"Linf",NA,17.1165999396115,NA,84.2470107331469,NA,128.471445724671,31.4857900065081,23.7135684575698,39.3371754083666,NA
"K",NA,1.43762398028393,NA,0.287976458990068,NA,0.197732902518424,0.315537557199038,0.538643441780861,0.123524864309614,NA
"growthType",2,4,2,4,2,4,4,4,4,2
