"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Polar_cod","Redfish","Saithe","Norwegian_ssh"
"alpha","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004"
"beta","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11"
