species,year,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
Blue_whiting,1,NA,24,7963,2009,NA
Blue_whiting,2,NA,13,7440,2543,1
Blue_whiting,3,NA,6,6471,3513,5
Blue_whiting,4,NA,3,5577,4406,11
Blue_whiting,5,NA,4,4927,5049,20
Blue_whiting,6,NA,4,4345,5611,35
Blue_whiting,7,NA,3,3853,6088,51
Blue_whiting,8,NA,3,3650,6287,59
Blue_whiting,9,NA,1,3400,6523,72
Blue_whiting,10,NA,1,3119,6780,91
Blue_whiting,11,NA,1,2971,6923,106
Blue_whiting,12,NA,2,2971,6914,107
Blue_whiting,13,NA,1,3002,6886,102
Blue_whiting,14,NA,1,3098,6794,97
Blue_whiting,15,NA,1,3180,6727,90
Blue_whiting,16,NA,2,3298,6608,80
Blue_whiting,17,NA,3,3411,6509,77
Blue_whiting,18,NA,3,3516,6409,72
Blue_whiting,19,NA,3,3540,6385,69
Blue_whiting,20,NA,3,3554,6375,67
Blue_whiting,21,NA,3,3513,6410,70
Blue_whiting,22,NA,4,3458,6455,74
Blue_whiting,23,NA,4,3413,6500,79
Blue_whiting,24,NA,4,3333,6575,84
Blue_whiting,25,NA,3,3224,6678,91
Blue_whiting,26,NA,4,3119,6768,101
Blue_whiting,27,NA,4,3055,6822,107
Blue_whiting,28,NA,4,2954,6921,118
Blue_whiting,29,NA,4,2912,6955,125
Blue_whiting,30,NA,4,2851,7009,131
Blue_whiting,31,NA,5,2832,7023,136
Blue_whiting,32,NA,4,2927,6935,127
Blue_whiting,33,NA,4,2991,6878,120
Blue_whiting,34,NA,5,3018,6851,121
Blue_whiting,35,NA,4,3008,6863,123
Blue_whiting,36,NA,4,3001,6868,121
Blue_whiting,37,NA,4,2957,6909,124
Blue_whiting,38,NA,4,2873,6985,128
Blue_whiting,39,NA,4,2864,6992,130
Blue_whiting,40,NA,3,2828,7024,135
Blue_whiting,41,NA,4,2812,7045,135
Blue_whiting,42,NA,4,2783,7066,137
Blue_whiting,43,NA,4,2818,7041,137
Blue_whiting,44,NA,3,2796,7057,137
Blue_whiting,45,NA,3,2806,7052,135
Blue_whiting,46,NA,4,2856,7002,135
Blue_whiting,47,NA,4,2921,6945,123
Blue_whiting,48,NA,4,2954,6914,122
Blue_whiting,49,NA,4,2954,6911,123
Blue_whiting,50,NA,4,2970,6894,121
Blue_whiting,51,NA,4,2982,6883,120
Blue_whiting,52,NA,4,2969,6894,124
Blue_whiting,53,NA,5,2992,6877,119
Blue_whiting,54,NA,4,2986,6880,121
Blue_whiting,55,NA,4,2951,6916,124
Blue_whiting,56,NA,4,2910,6953,125
Blue_whiting,57,NA,3,2776,7078,140
Blue_whiting,58,NA,3,2674,7171,148
Blue_whiting,59,NA,3,2662,7180,147
Blue_whiting,60,NA,4,2709,7133,146
Blue_whiting,61,NA,3,2717,7126,145
Blue_whiting,62,NA,3,2753,7100,142
Blue_whiting,63,NA,3,2782,7070,137
Blue_whiting,64,NA,3,2838,7019,137
Blue_whiting,65,NA,4,2890,6971,125
Blue_whiting,66,NA,3,2937,6930,118
Blue_whiting,67,NA,4,2973,6894,118
Blue_whiting,68,NA,3,2961,6909,119
Blue_whiting,69,NA,4,2970,6901,118
Blue_whiting,70,NA,3,2980,6895,116
Blue_whiting,71,NA,4,3001,6869,114
Blue_whiting,72,NA,3,2949,6927,118
Blue_whiting,73,NA,3,2919,6950,122
Blue_whiting,74,NA,3,2863,7000,125
Blue_whiting,75,NA,3,2855,7012,128
Blue_whiting,76,NA,3,2842,7016,130
Blue_whiting,77,NA,3,2820,7037,132
Blue_whiting,78,NA,3,2806,7052,135
Blue_whiting,79,NA,4,2904,6959,122
Blue_whiting,80,NA,4,2951,6929,120
Blue_whiting,81,NA,3,2950,6922,119
Blue_whiting,82,NA,4,2939,6935,120
Blue_whiting,83,NA,3,2946,6920,117
Blue_whiting,84,NA,4,2975,6905,118
Blue_whiting,85,NA,4,2973,6904,119
Blue_whiting,86,NA,4,2907,6956,123
Blue_whiting,87,NA,3,2884,6980,123
Blue_whiting,88,NA,3,2875,6983,123
Blue_whiting,89,NA,3,2870,6991,126
Blue_whiting,90,NA,4,2911,6952,122
Blue_whiting,91,NA,3,2904,6961,121
Blue_whiting,92,NA,4,2871,6989,126
Blue_whiting,93,NA,3,2874,6989,125
Blue_whiting,94,NA,4,2901,6965,121
Blue_whiting,95,NA,4,2908,6957,125
Blue_whiting,96,NA,3,2867,6998,124
Blue_whiting,97,NA,3,2906,6957,122
Blue_whiting,98,NA,4,2888,6976,124
Blue_whiting,99,NA,4,2899,6966,123
Blue_whiting,100,NA,4,2884,6982,125
Blue_whiting,101,NA,3,2873,6991,124
Blue_whiting,102,NA,3,2846,7018,125
Blue_whiting,103,NA,4,2882,6984,124
Blue_whiting,104,NA,4,2904,6959,124
Blue_whiting,105,NA,3,2886,6981,123
Blue_whiting,106,NA,4,2924,6945,121
Blue_whiting,107,NA,4,2925,6947,122
Blue_whiting,108,NA,3,2933,6933,122
Blue_whiting,109,NA,4,2922,6941,123
Blue_whiting,110,NA,4,2875,6986,127
Blue_whiting,111,NA,4,2866,6997,127
Blue_whiting,112,NA,4,2883,6977,128
Blue_whiting,113,NA,4,2881,6984,131
Blue_whiting,114,NA,4,2866,6990,134
Blue_whiting,115,NA,4,2891,6963,130
Blue_whiting,116,NA,4,2900,6959,131
Blue_whiting,117,NA,4,2907,6952,127
Blue_whiting,118,NA,3,2917,6946,126
Blue_whiting,119,NA,4,2934,6931,124
Blue_whiting,120,NA,3,2925,6934,125
Blue_whiting,121,NA,4,2962,6907,119
Blue_whiting,122,NA,4,2923,6939,126
Blue_whiting,123,NA,4,2915,6945,124
Blue_whiting,124,NA,4,2949,6916,123
Blue_whiting,125,NA,4,2968,6904,123
Blue_whiting,126,NA,4,2913,6952,127
Blue_whiting,127,NA,4,2912,6944,126
Blue_whiting,128,NA,4,2910,6955,125
Blue_whiting,129,NA,3,2886,6976,127
Blue_whiting,130,NA,4,2968,6897,119
Blue_whiting,131,NA,4,2978,6890,121
Blue_whiting,132,NA,4,3041,6838,118
Blue_whiting,133,NA,4,3031,6839,113
Blue_whiting,134,NA,4,3093,6794,111
Blue_whiting,135,NA,4,3087,6790,109
Blue_whiting,136,NA,4,3129,6755,105
Blue_whiting,137,NA,4,3204,6695,100
Blue_whiting,138,NA,4,3241,6657,97
Blue_whiting,139,NA,5,3349,6553,90
Blue_whiting,140,NA,4,3333,6568,91
Blue_whiting,141,NA,4,3416,6492,83
Blue_whiting,142,NA,4,3454,6461,81
Blue_whiting,143,NA,3,3458,6463,78
Blue_whiting,144,NA,4,3490,6424,75
Capelin,1,NA,238,6729,2990,44
Capelin,2,NA,351,6215,3414,21
Capelin,3,NA,253,5693,4006,44
Capelin,4,NA,197,4911,4790,99
Capelin,5,NA,187,4847,4851,111
Capelin,6,NA,217,5025,4641,116
Capelin,7,NA,243,5473,4192,91
Capelin,8,NA,347,6285,3303,68
Capelin,9,NA,193,5428,4310,64
Capelin,10,NA,176,4849,4857,115
Capelin,11,NA,262,5582,4057,98
Capelin,12,NA,222,5535,4166,77
Capelin,13,NA,235,5450,4221,90
Capelin,14,NA,238,5578,4102,81
Capelin,15,NA,159,4982,4762,92
Capelin,16,NA,258,5437,4204,101
Capelin,17,NA,291,6081,3566,61
Capelin,18,NA,162,5170,4594,75
Capelin,19,NA,256,5385,4253,103
Capelin,20,NA,267,5913,3752,68
Capelin,21,NA,192,5267,4457,83
Capelin,22,NA,158,4782,4951,109
Capelin,23,NA,250,5418,4226,101
Capelin,24,NA,179,5181,4549,90
Capelin,25,NA,194,4978,4706,118
Capelin,26,NA,231,5436,4229,100
Capelin,27,NA,261,5749,3906,83
Capelin,28,NA,245,5680,3999,77
Capelin,29,NA,277,5851,3794,77
Capelin,30,NA,257,5818,3857,70
Capelin,31,NA,330,6277,3331,64
Capelin,32,NA,130,5052,4748,71
Capelin,33,NA,152,4381,5323,140
Capelin,34,NA,262,5615,4025,96
Capelin,35,NA,234,5692,4002,70
Capelin,36,NA,202,5301,4405,86
Capelin,37,NA,151,4814,4930,105
Capelin,38,NA,255,5452,4190,103
Capelin,39,NA,224,5622,4083,73
Capelin,40,NA,156,4837,4897,105
Capelin,41,NA,157,4575,5125,141
Capelin,42,NA,137,4473,5249,140
Capelin,43,NA,211,5028,4633,127
Capelin,44,NA,197,5270,4436,94
Capelin,45,NA,126,4562,5197,113
Capelin,46,NA,322,5882,3691,99
Capelin,47,NA,253,6000,3693,53
Capelin,48,NA,152,4900,4853,94
Capelin,49,NA,199,4969,4711,115
Capelin,50,NA,216,5362,4326,91
Capelin,51,NA,199,5223,4485,90
Capelin,52,NA,177,5008,4711,102
Capelin,53,NA,119,4433,5323,125
Capelin,54,NA,259,5334,4287,119
Capelin,55,NA,262,5932,3739,65
Capelin,56,NA,122,4732,5050,93
Capelin,57,NA,221,4969,4680,128
Capelin,58,NA,253,5783,3881,81
Capelin,59,NA,175,5094,4633,93
Capelin,60,NA,157,4652,5055,133
Capelin,61,NA,223,5251,4410,117
Capelin,62,NA,217,5408,4278,93
Capelin,63,NA,188,5095,4611,102
Capelin,64,NA,170,4915,4803,108
Capelin,65,NA,124,4462,5287,127
Capelin,66,NA,188,4807,4875,129
Capelin,67,NA,296,6010,3614,75
Capelin,68,NA,177,5313,4432,73
Capelin,69,NA,185,4954,4750,110
Capelin,70,NA,298,5983,3636,79
Capelin,71,NA,159,5211,4559,71
Capelin,72,NA,133,4374,5359,134
Capelin,73,NA,267,5538,4076,114
Capelin,74,NA,252,5828,3847,71
Capelin,75,NA,128,4669,5094,107
Capelin,76,NA,160,4437,5242,160
Capelin,77,NA,288,5821,3791,101
Capelin,78,NA,154,5093,4666,82
Capelin,79,NA,213,5034,4634,117
Capelin,80,NA,265,5810,3842,79
Capelin,81,NA,178,5199,4538,83
Capelin,82,NA,165,4776,4941,116
Capelin,83,NA,299,5883,3725,88
Capelin,84,NA,177,5373,4381,69
Capelin,85,NA,212,5094,4582,107
Capelin,86,NA,169,5030,4700,99
Capelin,87,NA,263,5581,4057,97
Capelin,88,NA,272,5980,3683,64
Capelin,89,NA,177,5221,4522,80
Capelin,90,NA,144,4637,5103,116
Capelin,91,NA,283,5668,3947,101
Capelin,92,NA,213,5637,4086,64
Capelin,93,NA,147,4725,5012,112
Capelin,94,NA,230,5230,4412,124
Capelin,95,NA,209,5424,4275,88
Capelin,96,NA,137,4631,5109,117
Capelin,97,NA,175,4641,5034,147
Capelin,98,NA,210,5249,4431,107
Capelin,99,NA,227,5448,4233,92
Capelin,100,NA,265,5812,3841,76
Capelin,101,NA,213,5510,4202,75
Capelin,102,NA,185,5079,4638,100
Capelin,103,NA,216,5287,4396,99
Capelin,104,NA,236,5566,4115,84
Capelin,105,NA,222,5480,4217,83
Capelin,106,NA,210,5315,4382,91
Capelin,107,NA,244,5586,4086,85
Capelin,108,NA,181,5172,4551,91
Capelin,109,NA,162,4711,5002,124
Capelin,110,NA,241,5419,4226,115
Capelin,111,NA,248,5730,3943,78
Capelin,112,NA,143,4843,4912,101
Capelin,113,NA,236,5224,4418,119
Capelin,114,NA,221,5552,4142,83
Capelin,115,NA,198,5249,4465,90
Capelin,116,NA,233,5440,4229,94
Capelin,117,NA,155,4942,4801,98
Capelin,118,NA,178,4821,4876,123
Capelin,119,NA,342,6286,3295,75
Capelin,120,NA,221,5751,3970,56
Capelin,121,NA,187,5060,4652,100
Capelin,122,NA,224,5326,4346,100
Capelin,123,NA,215,5365,4322,94
Capelin,124,NA,240,5510,4154,91
Capelin,125,NA,200,5323,4386,87
Capelin,126,NA,173,4950,4770,105
Capelin,127,NA,264,5603,4033,97
Capelin,128,NA,197,5402,4319,77
Capelin,129,NA,113,4442,5324,118
Capelin,130,NA,294,5612,3980,113
Capelin,131,NA,248,5921,3768,58
Capelin,132,NA,170,5021,4710,96
Capelin,133,NA,200,5024,4654,122
Capelin,134,NA,210,5296,4397,96
Capelin,135,NA,218,5333,4346,98
