species,year,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5
Blue_whiting,1,NA,426,9444,128,NA
Blue_whiting,2,NA,1951,7476,575,NA
Blue_whiting,3,NA,285,7718,1993,1
Blue_whiting,4,NA,255,7369,2374,1
Blue_whiting,5,NA,319,7259,2418,2
Blue_whiting,6,NA,309,7275,2416,2
Blue_whiting,7,NA,317,7285,2394,2
Blue_whiting,8,NA,315,7275,2407,2
Blue_whiting,9,NA,310,7275,2414,2
Blue_whiting,10,NA,290,7196,2510,2
Blue_whiting,11,NA,319,7266,2414,2
Blue_whiting,12,NA,308,7189,2501,2
Blue_whiting,13,NA,275,7225,2497,2
Blue_whiting,14,NA,296,7258,2443,2
Blue_whiting,15,NA,304,7362,2331,1
Blue_whiting,16,NA,352,7352,2290,1
Blue_whiting,17,NA,357,7463,2179,1
Blue_whiting,18,NA,358,7461,2179,1
Blue_whiting,19,NA,361,7464,2176,1
Blue_whiting,20,NA,364,7379,2256,1
Blue_whiting,21,NA,357,7442,2200,1
Blue_whiting,22,NA,357,7397,2244,1
Blue_whiting,23,NA,374,7463,2163,1
Blue_whiting,24,NA,362,7487,2147,1
Blue_whiting,25,NA,354,7366,2275,1
Blue_whiting,26,NA,396,7333,2270,1
Blue_whiting,27,NA,375,7349,2274,1
Blue_whiting,28,NA,368,7346,2285,1
Blue_whiting,29,NA,373,7376,2254,1
Blue_whiting,30,NA,349,7409,2240,1
Blue_whiting,31,NA,379,7398,2223,1
Blue_whiting,32,NA,377,7466,2156,1
Blue_whiting,33,NA,365,7480,2154,1
Blue_whiting,34,NA,376,7412,2206,1
Blue_whiting,35,NA,360,7468,2170,1
Blue_whiting,36,NA,343,7464,2190,1
Blue_whiting,37,NA,337,7415,2246,1
Blue_whiting,38,NA,342,7480,2177,1
Blue_whiting,39,NA,358,7467,2172,1
Blue_whiting,40,NA,351,7451,2196,1
Blue_whiting,41,NA,360,7396,2244,1
Blue_whiting,42,NA,315,7328,2352,1
Blue_whiting,43,NA,373,7351,2274,1
Blue_whiting,44,NA,346,7382,2269,1
Blue_whiting,45,NA,361,7410,2226,1
Blue_whiting,46,NA,350,7398,2251,1
Blue_whiting,47,NA,354,7465,2179,1
Blue_whiting,48,NA,364,7502,2128,1
Blue_whiting,49,NA,375,7494,2130,1
Blue_whiting,50,NA,384,7496,2117,1
Blue_whiting,51,NA,389,7483,2126,1
Blue_whiting,52,NA,383,7479,2134,1
Blue_whiting,53,NA,389,7417,2190,1
Blue_whiting,54,NA,362,7489,2145,1
Blue_whiting,55,NA,348,7498,2152,1
Blue_whiting,56,NA,321,7406,2269,1
Blue_whiting,57,NA,330,7386,2280,1
Blue_whiting,58,NA,361,7283,2354,2
Blue_whiting,59,NA,351,7298,2349,1
Blue_whiting,60,NA,357,7317,2321,1
Blue_whiting,61,NA,347,7296,2355,2
Blue_whiting,62,NA,330,7268,2397,2
Blue_whiting,63,NA,347,7396,2254,1
Blue_whiting,64,NA,359,7459,2181,1
Blue_whiting,65,NA,347,7459,2192,1
Blue_whiting,66,NA,349,7404,2246,1
Blue_whiting,67,NA,346,7495,2156,1
Blue_whiting,68,NA,339,7478,2185,1
Blue_whiting,69,NA,357,7414,2227,1
Blue_whiting,70,NA,360,7480,2156,1
Blue_whiting,71,NA,358,7493,2147,1
Blue_whiting,72,NA,364,7457,2178,1
Blue_whiting,73,NA,339,7408,2251,1
Blue_whiting,74,NA,351,7282,2364,2
Blue_whiting,75,NA,336,7326,2334,1
Blue_whiting,76,NA,330,7340,2326,1
Blue_whiting,77,NA,352,7382,2265,1
Blue_whiting,78,NA,339,7369,2289,1
Blue_whiting,79,NA,350,7452,2199,1
Blue_whiting,80,NA,351,7429,2218,1
Blue_whiting,81,NA,351,7496,2150,1
Blue_whiting,82,NA,343,7420,2232,1
Blue_whiting,83,NA,368,7489,2140,1
Blue_whiting,84,NA,353,7492,2151,1
Blue_whiting,85,NA,357,7494,2148,1
Blue_whiting,86,NA,358,7442,2199,1
Blue_whiting,87,NA,379,7396,2223,1
Blue_whiting,88,NA,352,7330,2312,1
Blue_whiting,89,NA,349,7418,2230,1
Blue_whiting,90,NA,357,7364,2277,1
Blue_whiting,91,NA,361,7455,2183,1
Blue_whiting,92,NA,347,7413,2238,1
Blue_whiting,93,NA,341,7459,2200,1
Blue_whiting,94,NA,352,7330,2311,1
Blue_whiting,95,NA,327,7393,2279,1
Blue_whiting,96,NA,365,7400,2232,1
Blue_whiting,97,NA,352,7435,2208,1
Blue_whiting,98,NA,349,7394,2256,1
Blue_whiting,99,NA,348,7490,2159,1
Blue_whiting,100,NA,349,7395,2253,1
Blue_whiting,101,NA,350,7389,2259,1
Blue_whiting,102,NA,352,7409,2235,1
Blue_whiting,103,NA,351,7408,2237,1
Blue_whiting,104,NA,351,7436,2212,1
Blue_whiting,105,NA,358,7464,2173,1
Blue_whiting,106,NA,354,7433,2212,1
Blue_whiting,107,NA,357,7572,2070,1
Blue_whiting,108,NA,347,7557,2094,1
Blue_whiting,109,NA,358,7474,2167,1
Blue_whiting,110,NA,368,7481,2148,1
Blue_whiting,111,NA,360,7499,2141,1
Blue_whiting,112,NA,357,7564,2076,1
Blue_whiting,113,NA,364,7649,1985,1
Blue_whiting,114,NA,344,7568,2086,1
Blue_whiting,115,NA,357,7558,2084,1
Blue_whiting,116,NA,348,7617,2031,1
Blue_whiting,117,NA,356,7515,2131,1
Blue_whiting,118,NA,344,7619,2034,1
Blue_whiting,119,NA,384,7564,2050,1
Blue_whiting,120,NA,344,7637,2016,1
Blue_whiting,121,NA,355,7554,2088,1
Blue_whiting,122,NA,348,7602,2048,1
Blue_whiting,123,NA,366,7530,2104,1
Blue_whiting,124,NA,370,7691,1942,1
Blue_whiting,125,NA,350,7648,1999,1
Blue_whiting,126,NA,366,7591,2040,1
Blue_whiting,127,NA,351,7589,2054,1
Blue_whiting,128,NA,372,7538,2089,1
Blue_whiting,129,NA,351,7576,2069,1
Blue_whiting,130,NA,370,7521,2107,1
Blue_whiting,131,NA,350,7614,2035,1
Blue_whiting,132,NA,360,7564,2071,1
Blue_whiting,133,NA,373,7600,2023,1
Blue_whiting,134,NA,372,7568,2057,1
Blue_whiting,135,NA,338,7623,2036,1
Blue_whiting,136,NA,359,7537,2102,1
Blue_whiting,137,NA,379,7713,1909,1
Blue_whiting,138,NA,350,7670,1981,1
Blue_whiting,139,NA,376,7666,1956,1
Blue_whiting,140,NA,370,7696,1935,1
Blue_whiting,141,NA,356,7632,2009,1
Blue_whiting,142,NA,339,7786,1872,1
Blue_whiting,143,NA,344,7649,2002,1
Blue_whiting,144,NA,360,7628,2009,1
Capelin,1,179,1140,6930,1737,13
Capelin,2,75,3274,4761,1884,3
Capelin,3,56,2508,5096,2329,9
Capelin,4,43,2079,4567,3280,30
Capelin,5,39,2099,4433,3391,35
Capelin,6,48,2577,4063,3270,36
Capelin,7,53,3008,4029,2878,29
Capelin,8,78,4376,3314,2210,21
Capelin,9,42,2367,4917,2656,19
Capelin,10,38,2183,4247,3493,37
Capelin,11,61,3394,3676,2834,33
Capelin,12,52,2853,4302,2764,26
Capelin,13,58,3022,4002,2886,29
Capelin,14,65,2903,4241,2760,26
Capelin,15,45,1843,4866,3216,30
Capelin,16,77,3181,3659,3049,34
Capelin,17,93,3868,3817,2206,20
Capelin,18,47,1974,5021,2933,23
Capelin,19,78,3284,3574,3033,32
Capelin,20,83,3503,4066,2328,20
Capelin,21,60,2521,4596,2797,23
Capelin,22,46,2027,4548,3346,33
Capelin,23,74,3266,3669,2954,35
Capelin,24,47,2489,4602,2837,24
Capelin,25,47,2768,3917,3231,35
Capelin,26,53,3289,3814,2812,31
Capelin,27,66,3586,3775,2548,25
Capelin,28,61,3271,4069,2575,24
Capelin,29,82,3517,3848,2527,24
Capelin,30,74,3147,4245,2513,21
Capelin,31,99,4297,3459,2128,19
Capelin,32,42,1829,5299,2808,20
Capelin,33,47,2011,4084,3815,42
Capelin,34,80,3493,3659,2733,33
Capelin,35,72,3091,4274,2542,21
Capelin,36,63,2662,4417,2833,25
Capelin,37,48,2002,4683,3235,31
Capelin,38,77,3302,3657,2933,33
Capelin,39,63,2813,4489,2610,22
Capelin,40,35,2031,4547,3356,31
Capelin,41,36,2102,4173,3645,45
Capelin,42,33,1862,4393,3666,46
Capelin,43,56,2856,3741,3304,42
Capelin,44,60,2552,4479,2881,29
Capelin,45,39,1639,4783,3502,36
Capelin,46,100,4157,2993,2717,33
Capelin,47,79,3328,4391,2185,14
Capelin,48,46,1953,4865,3111,26
Capelin,49,62,2626,4035,3240,35
Capelin,50,67,2840,4253,2809,30
Capelin,51,62,2658,4353,2901,26
Capelin,52,53,2261,4510,3145,30
Capelin,53,38,1588,4760,3577,37
Capelin,54,79,3307,3367,3206,40
Capelin,55,79,3383,4187,2330,20
Capelin,56,36,1592,5135,3210,26
Capelin,57,67,2958,3511,3421,42
Capelin,58,64,3548,3895,2467,25
Capelin,59,39,2425,4511,2996,25
Capelin,60,35,2135,4228,3561,41
Capelin,61,53,3121,3698,3084,38
Capelin,62,51,2911,4178,2828,29
Capelin,63,49,2471,4343,3103,30
Capelin,64,51,2188,4436,3287,37
Capelin,65,35,1533,4714,3675,41
Capelin,66,58,2517,3867,3513,44
Capelin,67,88,3848,3594,2442,27
Capelin,68,52,2252,4908,2764,21
Capelin,69,58,2568,4110,3229,32
