"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.8223109093119,7.14586071206577,48.0998687088586,39.9084074316655,6.66273078654847,66.4579786773624,19.9435739991172,18.2536055299056,10.0415942784304,24.0004951590135
"kappa",0.386661447463688,0.856757694947251,0.450487869610623,0.296358733830267,0.700485727958331,0.203818382237258,0.165962457106395,0.116219950754644,0.439145432569429,0.563492693387255
"Linf",NA,16.9129519826018,163.36772825351,81.6539105511069,54.0768338431786,108.817822720775,29.949082794279,NA,38.6479217309504,231.684409301325
"K",NA,1.48285793987889,0.210079002215653,0.311477816653224,0.134858555630138,0.344169256626792,0.550061493735256,NA,0.153989590375897,0.0386423585749857
"growthType",2,4,4,4,4,4,4,2,4,4
