sizebin1,sizebin2,sizebin3,sizebin4,sizebin5,commentField-notused
10,10,10,10,10,Blue_whiting
5,5,5,5,5,Capelin
40,40,40,40,40,Green_halibut
25,25,25,25,25,Haddock
15,15,15,15,15,Long_rough_dab
13,13,13,13,13,Mackerel
32,32,32,32,32,North_atl_cod
10,10,10,10,10,Norwegian_ssh
8,8,8,8,8,Polar_cod
11,11,11,11,11,Redfish
40,40,40,40,40,Saithe
