"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.789294417559,6.63169649755624,49.5014497947987,39.9838548929573,9.42742000504934,60.944322412589,16.6708486261747,16.6146306917071,14.4410363365774,29.4031401118877
"kappa",0.386569448728855,1.0561805109247,0.438131631688918,0.295905144944404,0.554993164575265,0.225056982333768,0.247751163616134,0.171660427629779,0.297829825067683,0.468659254307903
"Linf",NA,16.8218074244381,181.408052579792,82.2086099705918,74.5602106103344,113.490075106377,30.1935942935394,23.496011296929,40.0373365972082,295.691980473002
"K",NA,1.48624367349263,0.122210169137528,0.269112407793611,0.0540812702577709,0.192284553341745,0.422332738581551,0.547913603865673,0.0993676828126604,0.0264818574059544
"growthType",2,4,4,4,4,4,4,4,4,4
