"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",24.0099727893711,12.062708459382,53.5172629090749,31.1564617568029,8.53741634826716,19.4067687707568,31.2301516364329,14.0202180434623,18.5268374485636,10.1974196824815,32.3360638504342
"kappa",0.156449972028192,0.352648560541356,0.418310377369028,0.39228407130773,0.558323789162629,0.355552673801225,0.643998135499158,0.330137153950327,0.116714120954766,0.43559778954458,0.44944273962884
"Linf",32.2657412648336,18.1673142992211,193.674605497754,75.3643231312965,80.9279502609865,46.4049552600742,105.595050017975,31.708399672838,24.8105329081105,41.396223434294,392.115449179046
"K",1.48865320913692,0.865542917430021,0.112043328842845,0.358559829824548,0.0406582800595626,0.276929867002857,0.417219468833248,0.321922979626504,0.249764404645364,0.107048667550538,0.0195077514787165
"growthType",4,4,4,4,4,4,4,4,4,4,4
