"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.7877777640624,7.15668516182192,52.7336086512218,42.1580757523052,7.01954592999709,70.0290640485033,17.1813466893724,18.9175977997013,10.0818390195569,24.1662674856674
"kappa",0.393864036814575,0.85699150596146,0.420646645300175,0.282008835160862,0.686149016209899,0.21077427615166,0.236953982185475,0.103605562249752,0.433856311161694,0.572916912388909
"Linf",NA,17.0698244654151,163.491181261715,83.3633179154234,NA,115.98190952576,29.6842842010953,25.4616565715998,38.654896029692,233.008831159304
"K",NA,1.43461933095219,0.226459675606387,0.334182415258268,NA,0.359588447688112,0.498217897230603,0.15993829754976,0.163150663266733,0.0395228755398315
"growthType",2,4,4,4,2,4,4,4,4,4
