year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1,558.147165819045,3427.7737988131184,46.667869658331696,113.17979241587408,0,0,646.3435286218103,325.65430969487244,0,185.14519217334228,232.77150778319682
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,1999498.8041814473,317051.4082480173,18798.964354617554,144840.9190956216,0,175667.96089237262,2851604.990479701,23079.05225169659,0,64584.55281063578,2588561.716374497
16,1569380.6713193113,254975.28033964924,17333.566891690978,99122.94769844544,0,218111.6154104977,2268207.4775619325,23049.49814286554,0,70647.51352194438,2026589.424133814
17,1539038.6943878233,371183.06418136926,17878.736929057184,75349.29180630352,0,181718.0079142712,2112022.349763281,20621.124132948444,0,61983.30418155074,1921992.8616976796
18,1473856.850136631,308946.24295667844,20349.866169201578,63464.11730588175,0,201551.3501199349,2040997.4007139516,24653.824540206544,0,79746.75261068242,1518108.875277711
19,1134019.4333408324,328839.4260907857,18019.381940279425,50785.03423658497,0,209875.52066728464,1914411.5759182144,21609.130032321606,0,71024.59538327016,1181270.3921197806
20,1257772.1343251662,396337.23033942137,23007.107559547112,42959.95782348791,0,195529.25205980163,1720514.072975519,21822.34956602868,0,68978.92060365345,1327526.7731886478
21,1205833.9307184292,406582.7660093865,23005.667551261413,27368.55536185765,0,220436.73938587753,1927955.6120699171,20408.846621721746,0,67808.35189761985,1114626.0978351366
22,1137136.2838854212,473554.0289678261,22941.435020852623,27058.03079395722,0,169173.15047224768,2001172.6082820885,27208.099878177494,0,66911.2909887247,637246.3212971716
23,1199657.672575939,379180.2298717586,17147.488660909043,21367.35222987923,0,211038.76764943497,2270533.426280673,23451.690100015385,0,67628.26969232039,583318.6251365284
24,1214708.4197173163,443691.4792842674,18225.203537075016,20111.445163001932,0,214169.29842225145,1916443.8928138497,25915.91148927453,0,80730.61375153241,463585.87678860297
25,1714452.658076418,1544560.0603643965,32150.87425259599,18597.057500385727,0,177823.54960161782,1986886.8182742633,15779.842772951954,0,43625.77710964995,692903.2177792218
26,1103133.015138605,1296443.361714708,29934.689205126444,16162.2085624921,0,198467.95204255026,2159803.4512122707,16554.354198500612,0,46024.12179119295,435379.56869996083
