year,meantemp
1,2.3650511944328234
2,2.3650511944328234
3,2.3650511944328234
4,2.3650511944328234
5,2.3650511944328234
6,2.3650511944328234
7,2.3650511944328234
8,2.3650511944328234
9,2.3650511944328234
10,2.3650511944328234
11,2.3650511944328234
12,2.3650511944328234
13,2.3650511944328234
14,2.3650511944328234
15,2.3650511944328234
16,2.3650511944328234
17,2.3650511944328234
18,2.3650511944328234
19,2.3650511944328234
20,2.3650511944328234
21,2.3650511944328234
22,2.3650511944328234
23,2.3650511944328234
24,2.3650511944328234
25,2.3650511944328234
26,1.816449532653967
27,2.097241366223159
28,2.3236811368418597
29,2.327642956588821
30,1.7987000253852097
31,1.8952053691600728
32,1.9753743503765817
33,2.096341594074692
34,2.245853977709582
35,2.229781891800775
36,2.4181100018146373
37,2.141397904930227
38,1.84598749678974
39,1.729825842281901
40,1.7469184777363187
41,2.116378006308959
42,2.3047388880018778
43,2.0612552491363254
44,2.1659207114946937
45,2.6039904499659867
46,2.6357260064047843
47,2.246916741571907
48,2.4314961631175387
49,2.4314961631175387
50,2.6987416430556173
51,2.968187191965364
52,3.313682782004281
53,3.2686681812276857
54,3.516297207471679
55,3.265244966559242
56,2.9633068987267905
57,3.23037475297963
58,3.331671963165439
59,2.9705791424430417
60,2.5708262331461276
61,2.7678809912161393
62,2.8334825690806946
63,2.706151608462041
64,2.420992011999632
65,1.8995989453019504
66,2.077259829822949
67,2.7033343319121625
68,2.670953788709621
69,2.645573534680599
70,2.332061090145258
71,2.7795425126976987
72,2.6261575444689536
73,2.5689401332020845
74,2.765212848494239
75,2.916210340942505
76,2.705332573580678
77,2.393394622434152
78,2.7783656266934345
79,3.1242136873959656
80,3.2155919533285413
81,2.947092431254587
82,2.911390838363769
83,3.0994369019872896
84,2.919582940431498
85,3.453513485231683
86,3.106490957477039
87,3.2722357544972906
88,2.906828067728623
89,3.059237782801658
90,2.474767748676675
91,2.5290861714917794
92,2.5708506125264914
93,2.8515094557310965
94,2.7254866157429216
95,2.6868765994527304
96,2.6872176290457004
97,2.778261563688643
98,2.9658263166209107
99,2.374641831767584
100,2.7823894049863425
101,2.978710072574966
102,2.7825828397157237
103,3.219638545900289
104,2.9133016209037286
105,2.7546596858358283
106,3.001092426075983
107,2.889171276253058
108,3.0133532745837774
109,2.982618375818854
110,2.7256734662940927
111,2.889658661838723
112,2.9922144351123476
113,2.889658661838723
114,2.889658661838723
115,2.889658661838723
116,2.889658661838723
117,2.889658661838723
118,2.889658661838723
119,2.889658661838723
120,2.889658661838723
121,2.889658661838723
122,2.889658661838723
123,2.889658661838723
124,2.889658661838723
125,2.889658661838723
126,2.889658661838723
127,2.889658661838723
128,2.889658661838723
129,2.889658661838723
130,2.889658661838723
131,2.889658661838723
132,2.889658661838723
133,2.889658661838723
134,2.889658661838723
135,2.889658661838723
136,2.889658661838723
137,2.889658661838723
138,2.889658661838723
139,2.889658661838723
140,2.889658661838723
141,2.889658661838723
142,2.889658661838723
143,2.889658661838723
144,2.889658661838723
