"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",23.6357559698255,12.0830025297085,56.0716929654761,34.4296661385409,8.60871450171105,19.0558194627821,31.7288900307106,10.949905012743,18.6482160347934,11.7378688158651,34.5187751879205
"kappa",0.171976690949627,0.357511433837443,0.406270895641628,0.358562039636078,0.567742022081621,0.355613891878039,0.682283034965874,0.511212712075382,0.117789994339401,0.391711918020257,0.462092645888115
"Linf",32.8147332960671,18.4856669230375,NA,78.1428064192993,NA,NA,NA,34.1505710597753,24.7868056199906,40.1547629699869,NA
"K",1.17640039220738,0.818113062199993,NA,0.355122993332236,NA,NA,NA,0.239949749186844,0.278045999714052,0.132376588896343,NA
"growthType",4,4,2,4,2,2,2,4,4,4,2
