"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.7875518216828,7.09232580494725,53.7288921028583,45.1065703859972,7.04140395551721,67.1843427578906,11.9273548773214,18.9376536981748,11.7953574317852,27.620115720568
"kappa",0.383400499877385,0.876351457225342,0.410118503517067,0.253520204484214,0.68800945431316,0.24085150420868,0.485147337781544,0.101894144156168,0.38507818010632,0.534978815905111
"Linf",NA,17.0579647604403,160.010624869927,84.0892406225056,NA,122.464339572728,32.0906018800391,NA,38.5176873289881,221.947179786593
"K",NA,1.47338484218562,0.243653310619614,0.317760684736778,NA,0.28672763393686,0.340784859633929,NA,0.188993145144218,0.0425464732446888
"growthType",2,4,4,4,2,4,4,2,4,4
