year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1,677.0701199443147,3389.8734011016572,53.79732338796504,107.16101784060018,0,0,591.8913071569732,291.3784764732672,0,187.48884993761646,204.84717591056867
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,2002423.9732122286,280856.0418817086,20070.71166611285,150160.97642657263,0,215726.11945144137,3014396.97149103,22443.285011341755,0,60735.71958876243,2599732.9387959116
16,1729822.7504143382,264976.113786226,20282.855063281182,111272.68993765819,0,213356.11176333876,2462665.8567509986,21978.715110279085,0,63357.07971181935,2206162.822399276
17,1521415.6269929206,337771.90965991525,19906.325807043344,82228.89848907429,0,212536.54637023035,2187870.150528244,21215.64763640242,0,65981.49441024783,1818121.4069164882
18,1362607.390430529,311245.6739179624,20515.460992624237,62065.68437934749,0,208058.6929672651,2003011.919854611,21107.573685962423,0,64826.85587506073,1523522.731487635
19,1246283.3820094091,324166.2460300485,20973.420488057818,46714.422393685905,0,206686.45280208215,1951166.0388371919,20672.374587029895,0,67563.77976227274,1260859.9632295398
20,1167625.649902361,428313.8558957766,20614.351708005077,36920.125612550946,0,206288.1813573594,1897921.6783788516,21364.806914805646,0,67904.24118775823,1085082.4987627019
21,1080462.5852138014,454789.10450974246,20703.186907134506,29559.675172404775,0,203680.9639759349,1892795.5577098469,21985.365799620595,0,68958.82681348512,919151.9287075042
22,1050685.3326052953,382228.08480046235,21095.35143283993,25756.7504232201,0,203667.13972075368,1866905.5390163937,23100.476456512108,0,69183.6612251845,769977.061269214
23,1029621.5583201532,394745.7865960192,20898.86054589556,24302.955224800608,0,203104.09614539897,1796813.2140190774,25450.120525220544,0,70342.77024343201,640978.8975842785
24,1025874.3295756585,424595.9343488064,21644.669993277214,22359.36618983392,0,198753.68892218132,1857104.620805014,26484.72797093417,0,72492.60277016215,531937.0321743889
25,1456203.821635613,1322147.1471022593,32345.799753506784,18258.202102162748,0,158545.53183441854,1733569.4001958629,14650.96302156506,0,44686.19716829575,662963.3685254685
26,1025685.1169781017,1376640.0462428192,31840.918403300242,14891.785739825162,0,163966.9991535524,2107105.677575721,16641.989844672924,0,47135.80477512161,515273.33707567
27,1014273.8969790003,1517303.8304925843,31888.56642581241,18380.222455818384,0,151943.32211671997,1648961.769247122,17988.00842312609,0,45754.19318398428,370725.1372516562
