"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",27.8211624189677,12.1985690451235,49.9343714262366,32.0442395830952,6.27212398501025,22.1338749545182,38.0109838849676,16.4592257730743,18.1561596092007,5.81712393347652,25.4351308283443
"kappa",0.0747252319049114,0.316955465533671,0.45169312603657,0.371763671910589,0.688392477422033,0.287114684248461,0.488916770427121,0.258110422935747,0.124642351411844,0.65428979138766,0.5608731233851
"Linf",32.2883974923593,18.1108704859647,172.763020098638,76.1853046189523,56.3720607830753,46.975473938555,111.080713416441,31.4902168956929,NA,39.4842982742024,251.168998687781
"K",1.26048088423084,0.864080992744927,0.194110903804338,0.387423406465293,0.091819027629013,0.241432276685679,0.36880652882704,0.4020713634899,NA,0.174965425928766,0.0376548115029532
"growthType",4,4,4,4,4,4,4,4,2,4,4
